Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;492;1;4,1943;3,41;Modems MODEM, 56K INTERNAL PCI LAPTOP;110MX;;Modems MODEM, 56K INTERNAL PCI LAPTOP;Modems MODEM, 56K INTERNAL PCI LAPTOP;Modems MODEM, 56K INTERNAL PCI LAPTOP;Modems MODEM, 56K INTERNAL PCI LAPTOP;;;;116;;
1;3;492;1;167,6736;136,32;Switch 3Com Baseline 2024 24-Port Unmanaged 10/100;3C16471B;;Switch 3Com Baseline 2024 24-Port Unmanaged 10/100;Switch 3Com Baseline 2024 24-Port Unmanaged 10/100;Switch 3Com Baseline 2024 24-Port Unmanaged 10/100;Switch 3Com Baseline 2024 24-Port Unmanaged 10/100;;;;116;;
1;3;492;1;8,3886;6,82;Networking Tokenlink Velocity XL PCI Card;3C359B;;Networking Tokenlink Velocity XL PCI Card;Networking Tokenlink Velocity XL PCI Card;Networking Tokenlink Velocity XL PCI Card;Networking Tokenlink Velocity XL PCI Card;;;;116;;
1;3;492;1;2,7921;2,27;Networking Management Module for SUPERSTACK II HUB Token Ring ADV RMON;3C510505;;Networking Management Module for SUPERSTACK II HUB Token Ring ADV RMON;Networking Management Module for SUPERSTACK II HUB Token Ring ADV RMON;Networking Management Module for SUPERSTACK II HUB Token Ring ADV RMON;Networking Management Module for SUPERSTACK II HUB Token Ring ADV RMON;;;;116;;
1;3;492;1;1,4022;1,14;Networking Fast Etherlink XL - 10BT/100BTX - PCI UTP;3C905B-TX;;Networking Fast Etherlink XL - 10BT/100BTX - PCI UTP;Networking Fast Etherlink XL - 10BT/100BTX - PCI UTP;Networking Fast Etherlink XL - 10BT/100BTX - PCI UTP;Networking Fast Etherlink XL - 10BT/100BTX - PCI UTP;;;;116;;
1;3;492;1;2,7921;2,27;Networking PCI 10/100 Etherlink W/O WOL Cable;3C980C-TXM;;Networking PCI 10/100 Etherlink W/O WOL Cable;Networking PCI 10/100 Etherlink W/O WOL Cable;Networking PCI 10/100 Etherlink W/O WOL Cable;Networking PCI 10/100 Etherlink W/O WOL Cable;;;;116;;
1;3;492;1;4,1943;3,41;Networking 3Com Gigabit Server NIC - Network adapter - PCI - Ethernet, Fast Ethernet, Gigabit Ethernet - 10Base-T, 100Base-TX, 1000Base-T;3C996B-T;;Networking 3Com Gigabit Server NIC - Network adapter - PCI - Ethernet, Fast Ethernet, Gigabit Ethernet - 10Base-T, 100Base-TX, 1000Base-T;Networking 3Com Gigabit Server NIC - Network adapter - PCI - Ethernet, Fast Ethernet, Gigabit Ethernet - 10Base-T, 100Base-TX, 1000Base-T;Networking 3Com Gigabit Server NIC - Network adapter - PCI - Ethernet, Fast Ethernet, Gigabit Ethernet - 10Base-T, 100Base-TX, 1000Base-T;Networking 3Com Gigabit Server NIC - Network adapter - PCI - Ethernet, Fast Ethernet, Gigabit Ethernet - 10Base-T, 100Base-TX, 1000Base-T;;;;116;;
1;3;492;1;8,3886;6,82;Networking 3Com - Network / modem combo - plug-in module - Mini PCI - 56 Kbps - V.90 - Ethernet, Fast Ethernet;3CN3AC1556B;;Networking 3Com - Network / modem combo - plug-in module - Mini PCI - 56 Kbps - V.90 - Ethernet, Fast Ethernet;Networking 3Com - Network / modem combo - plug-in module - Mini PCI - 56 Kbps - V.90 - Ethernet, Fast Ethernet;Networking 3Com - Network / modem combo - plug-in module - Mini PCI - 56 Kbps - V.90 - Ethernet, Fast Ethernet;Networking 3Com - Network / modem combo - plug-in module - Mini PCI - 56 Kbps - V.90 - Ethernet, Fast Ethernet;;;;116;;
1;3;492;1;4,1943;3,41;Networking ADAPTER, ETHERNET, 10/100/56K MINI CARD;3CN3AC1556B;;Networking ADAPTER, ETHERNET, 10/100/56K MINI CARD;Networking ADAPTER, ETHERNET, 10/100/56K MINI CARD;Networking ADAPTER, ETHERNET, 10/100/56K MINI CARD;Networking ADAPTER, ETHERNET, 10/100/56K MINI CARD;;;;116;;
1;3;492;1;5,5842;4,54;Modems Modem 56 Kbps, Fax / Modem, Mini PCI Interface, Internal Enclosure;3CN3BM1556B;;Modems Modem 56 Kbps, Fax / Modem, Mini PCI Interface, Internal Enclosure;Modems Modem 56 Kbps, Fax / Modem, Mini PCI Interface, Internal Enclosure;Modems Modem 56 Kbps, Fax / Modem, Mini PCI Interface, Internal Enclosure;Modems Modem 56 Kbps, Fax / Modem, Mini PCI Interface, Internal Enclosure;;;;116;;
1;3;492;1;4,1943;3,41;Networking CARD, ETHERNET 3COM 3C905CX-TX-M 10/100 PCI NETWORK;5H959;;Networking CARD, ETHERNET 3COM 3C905CX-TX-M 10/100 PCI NETWORK;Networking CARD, ETHERNET 3COM 3C905CX-TX-M 10/100 PCI NETWORK;Networking CARD, ETHERNET 3COM 3C905CX-TX-M 10/100 PCI NETWORK;Networking CARD, ETHERNET 3COM 3C905CX-TX-M 10/100 PCI NETWORK;;;;116;;
