Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;495;1;981,3432;797,84;9650SE-12ML-KIT RAID 0/1/5/10/50 12CH SATA II PCIE 64BIT;9650SE-12ML;;9650SE-12ML-KIT RAID 0/1/5/10/50 12CH SATA II PCIE 64BIT;9650SE-12ML-KIT RAID 0/1/5/10/50 12CH SATA II PCIE 64BIT;9650SE-12ML-KIT RAID 0/1/5/10/50 12CH SATA II PCIE 64BIT;9650SE-12ML-KIT RAID 0/1/5/10/50 12CH SATA II PCIE 64BIT;;;;93;;
1;3;495;1;868,1217;705,79;9650SE-12ML-SGL RAID 0/1/5/10/50 12CH SATA II PCIE 64BIT;9650SE-12ML-SGL;;9650SE-12ML-SGL RAID 0/1/5/10/50 12CH SATA II PCIE 64BIT;9650SE-12ML-SGL RAID 0/1/5/10/50 12CH SATA II PCIE 64BIT;9650SE-12ML-SGL RAID 0/1/5/10/50 12CH SATA II PCIE 64BIT;9650SE-12ML-SGL RAID 0/1/5/10/50 12CH SATA II PCIE 64BIT;;;;93;;
1;3;495;1;1177,2822;957,14;9650SE-16ML-KIT RAID 0/1/5/6/10/50 16CH SATA II PCIE;9650SE-16ML;;9650SE-16ML-KIT RAID 0/1/5/6/10/50 16CH SATA II PCIE;9650SE-16ML-KIT RAID 0/1/5/6/10/50 16CH SATA II PCIE;9650SE-16ML-KIT RAID 0/1/5/6/10/50 16CH SATA II PCIE;9650SE-16ML-KIT RAID 0/1/5/6/10/50 16CH SATA II PCIE;;;;93;;
1;3;495;1;1082,2893;879,91;9650SE-16ML-SGL RAID 0/1/5/6/10/50 16CH SATA II PCIE;9650SE-16ML-SGL;;9650SE-16ML-SGL RAID 0/1/5/6/10/50 16CH SATA II PCIE;9650SE-16ML-SGL RAID 0/1/5/6/10/50 16CH SATA II PCIE;9650SE-16ML-SGL RAID 0/1/5/6/10/50 16CH SATA II PCIE;9650SE-16ML-SGL RAID 0/1/5/6/10/50 16CH SATA II PCIE;;;;93;;
1;3;495;1;1485,348;1207,6;9650SE-24M8-KIT RAID 0/1/5/6/10/50 24CH SATA II PCIE;9650SE-24M8;;9650SE-24M8-KIT RAID 0/1/5/6/10/50 24CH SATA II PCIE;9650SE-24M8-KIT RAID 0/1/5/6/10/50 24CH SATA II PCIE;9650SE-24M8-KIT RAID 0/1/5/6/10/50 24CH SATA II PCIE;9650SE-24M8-KIT RAID 0/1/5/6/10/50 24CH SATA II PCIE;;;;93;;
1;3;495;1;1395,7794;1134,78;9650SE-24M8-SGL RAID 0/1/5/6/10/50 24CH SATA II PCIE;9650SE-24M8-SGL;;9650SE-24M8-SGL RAID 0/1/5/6/10/50 24CH SATA II PCIE;9650SE-24M8-SGL RAID 0/1/5/6/10/50 24CH SATA II PCIE;9650SE-24M8-SGL RAID 0/1/5/6/10/50 24CH SATA II PCIE;9650SE-24M8-SGL RAID 0/1/5/6/10/50 24CH SATA II PCIE;;;;93;;
1;3;495;1;248,4969;202,03;9650SE-2LP-KIT RAID 0/1 2CH SATA II PCIE 64BIT LP;9650SE-2LP;;9650SE-2LP-KIT RAID 0/1 2CH SATA II PCIE 64BIT LP;9650SE-2LP-KIT RAID 0/1 2CH SATA II PCIE 64BIT LP;9650SE-2LP-KIT RAID 0/1 2CH SATA II PCIE 64BIT LP;9650SE-2LP-KIT RAID 0/1 2CH SATA II PCIE 64BIT LP;;;;93;;
1;3;495;1;231,0063;187,81;9650SE-2LP-SGL RAID 0/1 2CH SATA II PCIE 64BIT LP;9650SE-2LP-SGL;;9650SE-2LP-SGL RAID 0/1 2CH SATA II PCIE 64BIT LP;9650SE-2LP-SGL RAID 0/1 2CH SATA II PCIE 64BIT LP;9650SE-2LP-SGL RAID 0/1 2CH SATA II PCIE 64BIT LP;9650SE-2LP-SGL RAID 0/1 2CH SATA II PCIE 64BIT LP;;;;93;;
1;3;495;1;443,8455;360,85;9650SE-4LPML-KIT RAID 0/1/5/10 4CH STAT II PCIE 64BIT W/ CABL;9650SE-4LPML;;9650SE-4LPML-KIT RAID 0/1/5/10 4CH STAT II PCIE 64BIT W/ CABL;9650SE-4LPML-KIT RAID 0/1/5/10 4CH STAT II PCIE 64BIT W/ CABL;9650SE-4LPML-KIT RAID 0/1/5/10 4CH STAT II PCIE 64BIT W/ CABL;9650SE-4LPML-KIT RAID 0/1/5/10 4CH STAT II PCIE 64BIT W/ CABL;;;;93;;
1;3;495;1;378,471;307,7;9650SE-4LPML-SGL RAID 0/1/5/10 4CH STAT II PCIE 64BIT NO CABL;9650SE-4LPML-SGL;;9650SE-4LPML-SGL RAID 0/1/5/10 4CH STAT II PCIE 64BIT NO CABL;9650SE-4LPML-SGL RAID 0/1/5/10 4CH STAT II PCIE 64BIT NO CABL;9650SE-4LPML-SGL RAID 0/1/5/10 4CH STAT II PCIE 64BIT NO CABL;9650SE-4LPML-SGL RAID 0/1/5/10 4CH STAT II PCIE 64BIT NO CABL;;;;93;;
