Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;600;1;924,3573;751,51;FireGL V7100 256MB PCIE;100-505090;;FireGL V7100 256MB PCIE;FireGL V7100 256MB PCIE;FireGL V7100 256MB PCIE;FireGL V7100 256MB PCIE;;;;90;;
1;3;600;1;579,5514;471,18;FireMV 2400 PCIE 256MB QUAD DD;100-505115;;FireMV 2400 PCIE 256MB QUAD DD;FireMV 2400 PCIE 256MB QUAD DD;FireMV 2400 PCIE 256MB QUAD DD;FireMV 2400 PCIE 256MB QUAD DD;;;;90;;
1;3;600;1;577,7187;469,69;FireMV 2400 PCIE 256M QUADbulk;100-505116;;FireMV 2400 PCIE 256M QUADbulk;FireMV 2400 PCIE 256M QUADbulk;FireMV 2400 PCIE 256M QUADbulk;FireMV 2400 PCIE 256M QUADbulk;;;;90;;
1;3;600;1;539,1213;438,31;FireMV 2400 PCI 128M QUAD DDVI;100-505130;;FireMV 2400 PCI 128M QUAD DDVI;FireMV 2400 PCI 128M QUAD DDVI;FireMV 2400 PCI 128M QUAD DDVI;FireMV 2400 PCI 128M QUAD DDVI;;;;90;;
1;3;600;1;2131,3686;1732,82;FireGL V7350 1GB PCIE;100-505143;;FireGL V7350 1GB PCIE;FireGL V7350 1GB PCIE;FireGL V7350 1GB PCIE;FireGL V7350 1GB PCIE;;;;90;;
1;3;600;1;1662,9846;1352,02;FireGL V7300 512MB PCIE;100-505144;;FireGL V7300 512MB PCIE;FireGL V7300 512MB PCIE;FireGL V7300 512MB PCIE;FireGL V7300 512MB PCIE;;;;90;;
1;3;600;1;2123,7426;1726,62;FireGL V7350 1GB PCIE BULK;100-505145;;FireGL V7350 1GB PCIE BULK;FireGL V7350 1GB PCIE BULK;FireGL V7350 1GB PCIE BULK;FireGL V7350 1GB PCIE BULK;;;;90;;
1;3;600;1;177,5997;144,39;FireMV 2250 RoHS 256MB PCIE;100-505175;;FireMV 2250 RoHS 256MB PCIE;FireMV 2250 RoHS 256MB PCIE;FireMV 2250 RoHS 256MB PCIE;FireMV 2250 RoHS 256MB PCIE;;;;90;;
1;3;600;1;169,8999;138,13;FireMV 2250 RoHS bulk;100-505176;;FireMV 2250 RoHS bulk;FireMV 2250 RoHS bulk;FireMV 2250 RoHS bulk;FireMV 2250 RoHS bulk;;;;90;;
1;3;600;1;175,3857;142,59;FireMV 2250 X1 ROHS 256MB;100-505179;;FireMV 2250 X1 ROHS 256MB;FireMV 2250 X1 ROHS 256MB;FireMV 2250 X1 ROHS 256MB;FireMV 2250 X1 ROHS 256MB;;;;90;;
1;3;600;1;167,7597;136,39;FireMV 2250 X1 ROHS 256MB;100-505180;;FireMV 2250 X1 ROHS 256MB;FireMV 2250 X1 ROHS 256MB;FireMV 2250 X1 ROHS 256MB;FireMV 2250 X1 ROHS 256MB;;;;90;;
1;3;600;1;744,9372;605,64;FireGL V7700 512 MB PCIE;100-505505;;FireGL V7700 512 MB PCIE;FireGL V7700 512 MB PCIE;FireGL V7700 512 MB PCIE;FireGL V7700 512 MB PCIE;;;;90;;
1;3;600;1;1768,0758;1437,46;FireGL V8650 PCIEx16 2GB;100-505509;;FireGL V8650 PCIEx16 2GB;FireGL V8650 PCIEx16 2GB;FireGL V8650 PCIEx16 2GB;FireGL V8650 PCIEx16 2GB;;;;90;;
1;3;600;1;221,1417;179,79;FireGL V3600 256MB PCIE Bulk;100-505514;;FireGL V3600 256MB PCIE Bulk;FireGL V3600 256MB PCIE Bulk;FireGL V3600 256MB PCIE Bulk;FireGL V3600 256MB PCIE Bulk;;;;90;;
1;3;600;1;1760,4744;1431,28;FireGL V8650 PCIEx16 2GB Bulk;100-505520;;FireGL V8650 PCIEx16 2GB Bulk;FireGL V8650 PCIEx16 2GB Bulk;FireGL V8650 PCIEx16 2GB Bulk;FireGL V8650 PCIEx16 2GB Bulk;;;;90;;
1;3;600;1;150,2691;122,17;FireMV 2260 X1 Giftbox;100-505527;;FireMV 2260 X1 Giftbox;FireMV 2260 X1 Giftbox;FireMV 2260 X1 Giftbox;FireMV 2260 X1 Giftbox;;;;90;;
