Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;507;1;435,9735;354,45;FINEREADER 11 CORP EDITION OCR CONVERT CREATE EDIT PDF ADRT;FRCEFW11B;;FINEREADER 11 CORP EDITION OCR CONVERT CREATE EDIT PDF ADRT;FINEREADER 11 CORP EDITION OCR CONVERT CREATE EDIT PDF ADRT;FINEREADER 11 CORP EDITION OCR CONVERT CREATE EDIT PDF ADRT;FINEREADER 11 CORP EDITION OCR CONVERT CREATE EDIT PDF ADRT;;;;71;;
1;3;507;1;1289,778;1048,6;FINEREADER 11 CORP EDITION OCR 3CONCURRENT LICENSE PACK;FRCEFW11B3C;;FINEREADER 11 CORP EDITION OCR 3CONCURRENT LICENSE PACK;FINEREADER 11 CORP EDITION OCR 3CONCURRENT LICENSE PACK;FINEREADER 11 CORP EDITION OCR 3CONCURRENT LICENSE PACK;FINEREADER 11 CORP EDITION OCR 3CONCURRENT LICENSE PACK;;;;71;;
1;3;507;1;435,9735;354,45;FINEREADER 11 CORP EDITION OCR CONVERT CREATE EDIT PDF ADRT;FRCEFW11E;;FINEREADER 11 CORP EDITION OCR CONVERT CREATE EDIT PDF ADRT;FINEREADER 11 CORP EDITION OCR CONVERT CREATE EDIT PDF ADRT;FINEREADER 11 CORP EDITION OCR CONVERT CREATE EDIT PDF ADRT;FINEREADER 11 CORP EDITION OCR CONVERT CREATE EDIT PDF ADRT;;;;71;;
1;3;507;1;1341,0567;1090,29;ABBYY FINEREADER 11 CORP 3 CONCURRENT SEATS ESD;FRCEFW11E3C;;ABBYY FINEREADER 11 CORP 3 CONCURRENT SEATS ESD;ABBYY FINEREADER 11 CORP 3 CONCURRENT SEATS ESD;ABBYY FINEREADER 11 CORP 3 CONCURRENT SEATS ESD;ABBYY FINEREADER 11 CORP 3 CONCURRENT SEATS ESD;;;;71;;
1;3;507;1;652,1952;530,24;FINEREADER 11 CORP EDITION WITH ARABIC OCR EDIT CONVERT AND ADRT;FRCEFWA11B;;FINEREADER 11 CORP EDITION WITH ARABIC OCR EDIT CONVERT AND ADRT;FINEREADER 11 CORP EDITION WITH ARABIC OCR EDIT CONVERT AND ADRT;FINEREADER 11 CORP EDITION WITH ARABIC OCR EDIT CONVERT AND ADRT;FINEREADER 11 CORP EDITION WITH ARABIC OCR EDIT CONVERT AND ADRT;;;;71;;
1;3;507;1;652,1952;530,24;FINEREADER 11 CORP EDITION WITH ARABIC OCR EDIT CONVERT AND ADRT;FRCEFWA11E;;FINEREADER 11 CORP EDITION WITH ARABIC OCR EDIT CONVERT AND ADRT;FINEREADER 11 CORP EDITION WITH ARABIC OCR EDIT CONVERT AND ADRT;FINEREADER 11 CORP EDITION WITH ARABIC OCR EDIT CONVERT AND ADRT;FINEREADER 11 CORP EDITION WITH ARABIC OCR EDIT CONVERT AND ADRT;;;;71;;
1;3;507;1;1928,4801;1567,87;FINEREADER 11 CORP EDITION WITH ARABIC 3 CONCURRENT LICS PK;FRCEFWA11E3C;;FINEREADER 11 CORP EDITION WITH ARABIC 3 CONCURRENT LICS PK;FINEREADER 11 CORP EDITION WITH ARABIC 3 CONCURRENT LICS PK;FINEREADER 11 CORP EDITION WITH ARABIC 3 CONCURRENT LICS PK;FINEREADER 11 CORP EDITION WITH ARABIC 3 CONCURRENT LICS PK;;;;71;;
1;3;507;1;447,0189;363,43;ABBYY FINEREADER 11 CORP EDITION BOX;FRCEFWE11B;;ABBYY FINEREADER 11 CORP EDITION BOX;ABBYY FINEREADER 11 CORP EDITION BOX;ABBYY FINEREADER 11 CORP EDITION BOX;ABBYY FINEREADER 11 CORP EDITION BOX;;;;71;;
1;3;507;1;272,7771;221,77;UPG FINEREADER 11 CORP OCR CONVERT CREATE EDIT PDF ADRT;FRCEUW11B;;UPG FINEREADER 11 CORP OCR CONVERT CREATE EDIT PDF ADRT;UPG FINEREADER 11 CORP OCR CONVERT CREATE EDIT PDF ADRT;UPG FINEREADER 11 CORP OCR CONVERT CREATE EDIT PDF ADRT;UPG FINEREADER 11 CORP OCR CONVERT CREATE EDIT PDF ADRT;;;;71;;
