Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;538;1;113,652;92,4;FC GOV ILLUSTRATOR ALL MP NEW UPG 1YR 1U 1+ 100PT;09945272AF01A12;;FC GOV ILLUSTRATOR ALL MP NEW UPG 1YR 1U 1+ 100PT;FC GOV ILLUSTRATOR ALL MP NEW UPG 1YR 1U 1+ 100PT;FC GOV ILLUSTRATOR ALL MP NEW UPG 1YR 1U 1+ 100PT;FC GOV ILLUSTRATOR ALL MP NEW UPG 1YR 1U 1+ 100PT;;;;65;;
1;3;538;1;83,4432;67,84;FC ELP1 ILLUSTRATOR ALL MP NEW UPG 2YR 1U 100PT;09945273AE01A24;;FC ELP1 ILLUSTRATOR ALL MP NEW UPG 2YR 1U 100PT;FC ELP1 ILLUSTRATOR ALL MP NEW UPG 2YR 1U 100PT;FC ELP1 ILLUSTRATOR ALL MP NEW UPG 2YR 1U 100PT;FC ELP1 ILLUSTRATOR ALL MP NEW UPG 2YR 1U 100PT;;;;65;;
1;3;538;1;69,0522;56,14;FC ELP2 ILLUSTRATOR ALL MP NEW UPG 2YR 1U 100PT;09945273AE02A24;;FC ELP2 ILLUSTRATOR ALL MP NEW UPG 2YR 1U 100PT;FC ELP2 ILLUSTRATOR ALL MP NEW UPG 2YR 1U 100PT;FC ELP2 ILLUSTRATOR ALL MP NEW UPG 2YR 1U 100PT;FC ELP2 ILLUSTRATOR ALL MP NEW UPG 2YR 1U 100PT;;;;65;;
1;3;538;1;227,3286;184,82;FC GOV ILLUSTRATOR ALL MP NEW UPG 2YR 1U 1+ 200PT;09945273AF01A24;;FC GOV ILLUSTRATOR ALL MP NEW UPG 2YR 1U 1+ 200PT;FC GOV ILLUSTRATOR ALL MP NEW UPG 2YR 1U 1+ 200PT;FC GOV ILLUSTRATOR ALL MP NEW UPG 2YR 1U 1+ 200PT;FC GOV ILLUSTRATOR ALL MP NEW UPG 2YR 1U 1+ 200PT;;;;65;;
1;3;538;1;133,7994;108,78;FC GOV PS ALL MP NEW UPG 1YR 1U 1+ 100PT;09945349AF01A12;;FC GOV PS ALL MP NEW UPG 1YR 1U 1+ 100PT;FC GOV PS ALL MP NEW UPG 1YR 1U 1+ 100PT;FC GOV PS ALL MP NEW UPG 1YR 1U 1+ 100PT;FC GOV PS ALL MP NEW UPG 1YR 1U 1+ 100PT;;;;65;;
1;3;538;1;267,6111;217,57;FC GOV PS ALL MP NEW UPG 2YR 1U 1+ 200PT;09945350AF01A24;;FC GOV PS ALL MP NEW UPG 2YR 1U 1+ 200PT;FC GOV PS ALL MP NEW UPG 2YR 1U 1+ 200PT;FC GOV PS ALL MP NEW UPG 2YR 1U 1+ 200PT;FC GOV PS ALL MP NEW UPG 2YR 1U 1+ 200PT;;;;65;;
1;3;538;1;227,3286;184,82;CLP INDESIGN UPG 2YR 200P;09945394A9;;CLP INDESIGN UPG 2YR 200P;CLP INDESIGN UPG 2YR 200P;CLP INDESIGN UPG 2YR 200P;CLP INDESIGN UPG 2YR 200P;;;;65;;
1;3;538;1;122,2866;99,42;FC GOV INDESIGN ALL MP NEW UPG 1YR 1U 1+ 100PT;09945456AF01A12;;FC GOV INDESIGN ALL MP NEW UPG 1YR 1U 1+ 100PT;FC GOV INDESIGN ALL MP NEW UPG 1YR 1U 1+ 100PT;FC GOV INDESIGN ALL MP NEW UPG 1YR 1U 1+ 100PT;FC GOV INDESIGN ALL MP NEW UPG 1YR 1U 1+ 100PT;;;;65;;
1;3;538;1;83,4432;67,84;FC ELP1 INDESIGN ALL MP NEW UPG 2YR 1-2499 100PT;09945457AE01A24;;FC ELP1 INDESIGN ALL MP NEW UPG 2YR 1-2499 100PT;FC ELP1 INDESIGN ALL MP NEW UPG 2YR 1-2499 100PT;FC ELP1 INDESIGN ALL MP NEW UPG 2YR 1-2499 100PT;FC ELP1 INDESIGN ALL MP NEW UPG 2YR 1-2499 100PT;;;;65;;
