Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;684;1;1195,0065;971,55;FEE AUTOCAD NET LIC ACTIVATION;00100-000000-0001;;FEE AUTOCAD NET LIC ACTIVATION;FEE AUTOCAD NET LIC ACTIVATION;FEE AUTOCAD NET LIC ACTIVATION;FEE AUTOCAD NET LIC ACTIVATION;;;;65;;
1;3;684;1;1195,0065;971,55;ACAD N/W LIC ACTV FEE;00100-000000-0001-N;;ACAD N/W LIC ACTV FEE;ACAD N/W LIC ACTV FEE;ACAD N/W LIC ACTV FEE;ACAD N/W LIC ACTV FEE;;;;65;;
1;3;684;1;128,2398;104,26;AUTOCAD SUB LATE PROCES FEE RNWL;00100-000000-9580;;AUTOCAD SUB LATE PROCES FEE RNWL;AUTOCAD SUB LATE PROCES FEE RNWL;AUTOCAD SUB LATE PROCES FEE RNWL;AUTOCAD SUB LATE PROCES FEE RNWL;;;;65;;
1;3;684;1;128,2398;104,26;ACAD COMM SUB LATE PRC FEE RNWL;00100-000000-9580-VC;;ACAD COMM SUB LATE PRC FEE RNWL;ACAD COMM SUB LATE PRC FEE RNWL;ACAD COMM SUB LATE PRC FEE RNWL;ACAD COMM SUB LATE PRC FEE RNWL;;;;65;;
1;3;684;1;562,6758;457,46;ACAD COMM SUB 1 YR;00100-000000-9860;;ACAD COMM SUB 1 YR;ACAD COMM SUB 1 YR;ACAD COMM SUB 1 YR;ACAD COMM SUB 1 YR;;;;65;;
1;3;684;1;426,2688;346,56;AUTOCAD SUB 10MO;00100-000000-9860=10;;AUTOCAD SUB 10MO;AUTOCAD SUB 10MO;AUTOCAD SUB 10MO;AUTOCAD SUB 10MO;;;;65;;
1;3;684;1;468,9006;381,22;AUTOCAD SUB 11MO;00100-0000009860=11M;;AUTOCAD SUB 11MO;AUTOCAD SUB 11MO;AUTOCAD SUB 11MO;AUTOCAD SUB 11MO;;;;65;;
1;3;684;1;596,7837;485,19;AUTOCAD SUB 14MO;00100-000000-9860=14;;AUTOCAD SUB 14MO;AUTOCAD SUB 14MO;AUTOCAD SUB 14MO;AUTOCAD SUB 14MO;;;;65;;
1;3;684;1;639,3909;519,83;AUTOCAD SUB 15MO;00100-000000-9860=15;;AUTOCAD SUB 15MO;AUTOCAD SUB 15MO;AUTOCAD SUB 15MO;AUTOCAD SUB 15MO;;;;65;;
1;3;684;1;682,0227;554,49;ACAD COMM SUB 16MO;00100-000000-9860=16;;ACAD COMM SUB 16MO;ACAD COMM SUB 16MO;ACAD COMM SUB 16MO;ACAD COMM SUB 16MO;;;;65;;
1;3;684;1;724,6545;589,15;AUTOCAD SUB 17MO;00100-000000-9860=17;;AUTOCAD SUB 17MO;AUTOCAD SUB 17MO;AUTOCAD SUB 17MO;AUTOCAD SUB 17MO;;;;65;;
1;3;684;1;767,274;623,8;ACAD COMM SUB 18MO;00100-000000-9860=18;;ACAD COMM SUB 18MO;ACAD COMM SUB 18MO;ACAD COMM SUB 18MO;ACAD COMM SUB 18MO;;;;65;;
1;3;684;1;42,6318;34,66;AUTOCAD SUB 1MO;00100-000000-9860=1M;;AUTOCAD SUB 1MO;AUTOCAD SUB 1MO;AUTOCAD SUB 1MO;AUTOCAD SUB 1MO;;;;65;;
