Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;806;1;309,96;252;PERSONAL COPIER PC430 4CPM 50SHT TRAY LETTER/LEGAL;0000A011;;PERSONAL COPIER PC430 4CPM 50SHT TRAY LETTER/LEGAL;PERSONAL COPIER PC430 4CPM 50SHT TRAY LETTER/LEGAL;PERSONAL COPIER PC430 4CPM 50SHT TRAY LETTER/LEGAL;PERSONAL COPIER PC430 4CPM 50SHT TRAY LETTER/LEGAL;;;;27;;
1;3;806;1;328,3362;266,94;Prsnl copier 4cpm lgl and Lttr;0000A011BA;;Prsnl copier 4cpm lgl and Lttr;Prsnl copier 4cpm lgl and Lttr;Prsnl copier 4cpm lgl and Lttr;Prsnl copier 4cpm lgl and Lttr;;;;27;;
1;3;806;1;338,2992;275,04;I/R Remote Controller Kit For RE350;0002v445;;I/R Remote Controller Kit For RE350;I/R Remote Controller Kit For RE350;I/R Remote Controller Kit For RE350;I/R Remote Controller Kit For RE350;;;;27;;
1;3;806;1;16,9248;13,76;FLUORESCENT REPLACEMENT BULB 7W FOR DZ-3600U/RE-350/RE-455X/RE-450X;0002V447;;FLUORESCENT REPLACEMENT BULB 7W FOR DZ-3600U/RE-350/RE-455X/RE-450X;FLUORESCENT REPLACEMENT BULB 7W FOR DZ-3600U/RE-350/RE-455X/RE-450X;FLUORESCENT REPLACEMENT BULB 7W FOR DZ-3600U/RE-350/RE-455X/RE-450X;FLUORESCENT REPLACEMENT BULB 7W FOR DZ-3600U/RE-350/RE-455X/RE-450X;;;;27;;
1;3;806;1;169,1373;137,51;WARRANTY, CANON, EXTENDED SERVICE ,;0012X791;;WARRANTY, CANON, EXTENDED SERVICE ,;WARRANTY, CANON, EXTENDED SERVICE ,;WARRANTY, CANON, EXTENDED SERVICE ,;WARRANTY, CANON, EXTENDED SERVICE ,;;;;27;;
1;3;806;1;0,0123;0,01;CABLE, USB CABLE FOR CANON;0027X537;;CABLE, USB CABLE FOR CANON;CABLE, USB CABLE FOR CANON;CABLE, USB CABLE FOR CANON;CABLE, USB CABLE FOR CANON;;;;27;;
1;3;806;1;661,9368;538,16;EF-S 60MM F/2.8 MACRO USM LENS;00284B002;;EF-S 60MM F/2.8 MACRO USM LENS;EF-S 60MM F/2.8 MACRO USM LENS;EF-S 60MM F/2.8 MACRO USM LENS;EF-S 60MM F/2.8 MACRO USM LENS;;;;27;;
1;3;806;1;497,3382;404,34;RS-LP01 REPLACEMENT LAMP 200 WATT NSH LAMP FOR REALIS SX50;0028B001;;RS-LP01 REPLACEMENT LAMP 200 WATT NSH LAMP FOR REALIS SX50;RS-LP01 REPLACEMENT LAMP 200 WATT NSH LAMP FOR REALIS SX50;RS-LP01 REPLACEMENT LAMP 200 WATT NSH LAMP FOR REALIS SX50;RS-LP01 REPLACEMENT LAMP 200 WATT NSH LAMP FOR REALIS SX50;;;;27;;
1;3;806;1;789,4632;641,84;RS-CL01CEILING MOUNT FOR REALIS SX50;0031B001;;RS-CL01CEILING MOUNT FOR REALIS SX50;RS-CL01CEILING MOUNT FOR REALIS SX50;RS-CL01CEILING MOUNT FOR REALIS SX50;RS-CL01CEILING MOUNT FOR REALIS SX50;;;;27;;
1;3;806;1;123,5535;100,45;WRLS PRINT SERVER C6700-WG FOR CANON IMAGECLASS;0031X367;;WRLS PRINT SERVER C6700-WG FOR CANON IMAGECLASS;WRLS PRINT SERVER C6700-WG FOR CANON IMAGECLASS;WRLS PRINT SERVER C6700-WG FOR CANON IMAGECLASS;WRLS PRINT SERVER C6700-WG FOR CANON IMAGECLASS;;;;27;;
