Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory;;;
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory;;;
1;3;13;1;57637,8;46860;10000 EIGHT SLOT CHAS 1 PRE4 1 AC PEM;10000-1P4-1AC;;10000 EIGHT SLOT CHAS 1 PRE4 1 AC PEM;10000 EIGHT SLOT CHAS 1 PRE4 1 AC PEM;10000 EIGHT SLOT CHAS 1 PRE4 1 AC PEM;10000 EIGHT SLOT CHAS 1 PRE4 1 AC PEM;;;;1;;;;;
1;3;13;1;57637,8;46860;10000 8SLOT CHAS 1 PRE4 1 DC PEM;10000-1P4-1DC;;10000 8SLOT CHAS 1 PRE4 1 DC PEM;10000 8SLOT CHAS 1 PRE4 1 DC PEM;10000 8SLOT CHAS 1 PRE4 1 DC PEM;10000 8SLOT CHAS 1 PRE4 1 DC PEM;;;;1;;;;;
1;3;13;1;76920,264;62537;10000 EIGHT SLOT CHAS 2 PRE3 2 AC PEM;10000-2P3-2AC;;10000 EIGHT SLOT CHAS 2 PRE3 2 AC PEM;10000 EIGHT SLOT CHAS 2 PRE3 2 AC PEM;10000 EIGHT SLOT CHAS 2 PRE3 2 AC PEM;10000 EIGHT SLOT CHAS 2 PRE3 2 AC PEM;;;;1;;;;;
1;3;13;1;76920,264;62537;10000 8 SLOT CHAS 2 PRE3 2 DC PEM;10000-2P3-2DC;;10000 8 SLOT CHAS 2 PRE3 2 DC PEM;10000 8 SLOT CHAS 2 PRE3 2 DC PEM;10000 8 SLOT CHAS 2 PRE3 2 DC PEM;10000 8 SLOT CHAS 2 PRE3 2 DC PEM;;;;1;;;;;
1;3;13;1;12575,52;10224;10000 SERIES SPA I/F PROC-600 10G;10000-SIP-600;;10000 SERIES SPA I/F PROC-600 10G;10000 SERIES SPA I/F PROC-600 10G;10000 SERIES SPA I/F PROC-600 10G;10000 SERIES SPA I/F PROC-600 10G;;;;1;;;;;
1;3;13;1;12575,52;10224;10000 SERIES SPA I/F PROC 600 10G;10000-SIP-600=;;10000 SERIES SPA I/F PROC 600 10G;10000 SERIES SPA I/F PROC 600 10G;10000 SERIES SPA I/F PROC 600 10G;10000 SERIES SPA I/F PROC 600 10G;;;;1;;;;;
1;3;13;1;8821,7322;7172;10000 SERIES SPA I/F PROC-600 10G REFURB;10000-SIP-600-RF;;10000 SERIES SPA I/F PROC-600 10G REFURB;10000 SERIES SPA I/F PROC-600 10G REFURB;10000 SERIES SPA I/F PROC-600 10G REFURB;10000 SERIES SPA I/F PROC-600 10G REFURB;;;;1;;;;;
1;3;13;1;13665,3;11110;PWR CORD AUS;1000897;;PWR CORD AUS;PWR CORD AUS;PWR CORD AUS;PWR CORD AUS;;;;1;;;;;
1;3;13;1;50519,79;41073;HDTV CBL KIT;1000944;;HDTV CBL KIT;HDTV CBL KIT;HDTV CBL KIT;HDTV CBL KIT;;;;1;;;;;
1;3;13;1;1821,0765;1481;CONTACT CLOSURE I/F LEITCH RCPGPI32P;1001664;;CONTACT CLOSURE I/F LEITCH RCPGPI32P;CONTACT CLOSURE I/F LEITCH RCPGPI32P;CONTACT CLOSURE I/F LEITCH RCPGPI32P;CONTACT CLOSURE I/F LEITCH RCPGPI32P;;;;1;;;;;
1;3;13;1;99,3594;81;CBL 37DM TO 37DM CONN ECTORS LCOMM CSM37MM5;1001702;;CBL 37DM TO 37DM CONN ECTORS LCOMM CSM37MM5;CBL 37DM TO 37DM CONN ECTORS LCOMM CSM37MM5;CBL 37DM TO 37DM CONN ECTORS LCOMM CSM37MM5;CBL 37DM TO 37DM CONN ECTORS LCOMM CSM37MM5;;;;1;;;;;
1;3;13;1;13665,3;11110;ADAPTERPG11MIEC14F MULMULT=100;1001719;;ADAPTERPG11MIEC14F MULMULT=100;ADAPTERPG11MIEC14F MULMULT=100;ADAPTERPG11MIEC14F MULMULT=100;ADAPTERPG11MIEC14F MULMULT=100;;;;1;;;;;
1;3;13;1;13665,3;11110;PWR CORD10A 250V C17 ARGENTINA;1001790;;PWR CORD10A 250V C17 ARGENTINA;PWR CORD10A 250V C17 ARGENTINA;PWR CORD10A 250V C17 ARGENTINA;PWR CORD10A 250V C17 ARGENTINA;;;;1;;;;;
1;3;13;1;13665,3;11110;PWR CORD BRAZIL;1001800;;PWR CORD BRAZIL;PWR CORD BRAZIL;PWR CORD BRAZIL;PWR CORD BRAZIL;;;;1;;;;;
1;3;13;1;725,0112;589;XDQA 24 AC P/S;1001815;;XDQA 24 AC P/S;XDQA 24 AC P/S;XDQA 24 AC P/S;XDQA 24 AC P/S;;;;1;;;;;
1;3;13;1;667,5825;543;SDI VDA MOD 5 CONN VSD6800;1002231;;SDI VDA MOD 5 CONN VSD6800;SDI VDA MOD 5 CONN VSD6800;SDI VDA MOD 5 CONN VSD6800;SDI VDA MOD 5 CONN VSD6800;;;;1;;;;;
1;3;13;1;510,7698;415;SDI VDA MOD 10 CONN VSD6800+D;1002232;;SDI VDA MOD 10 CONN VSD6800+D;SDI VDA MOD 10 CONN VSD6800+D;SDI VDA MOD 10 CONN VSD6800+D;SDI VDA MOD 10 CONN VSD6800+D;;;;1;;;;;
1;3;13;1;35116,5;28550;PWR CORDUPSNA PLUG;1002239;;PWR CORDUPSNA PLUG;PWR CORDUPSNA PLUG;PWR CORDUPSNA PLUG;PWR CORDUPSNA PLUG;;;;1;;;;;
1;3;13;1;667,5825;543;FAN ASSYDUALGQAM RACK;1002499;;FAN ASSYDUALGQAM RACK;FAN ASSYDUALGQAM RACK;FAN ASSYDUALGQAM RACK;FAN ASSYDUALGQAM RACK;;;;1;;;;;
1;3;13;1;23850,93;19391;PWR CORD2.5A250VC7 ARGENTINA;1002655;;PWR CORD2.5A250VC7 ARGENTINA;PWR CORD2.5A250VC7 ARGENTINA;PWR CORD2.5A250VC7 ARGENTINA;PWR CORD2.5A250VC7 ARGENTINA;;;;1;;;;;
1;3;13;1;284,0931;231;PNC MSYNC4 DA MOD5 I/O CONN LEITCH VDA6800+;1002671;;PNC MSYNC4 DA MOD5 I/O CONN LEITCH VDA6800+;PNC MSYNC4 DA MOD5 I/O CONN LEITCH VDA6800+;PNC MSYNC4 DA MOD5 I/O CONN LEITCH VDA6800+;PNC MSYNC4 DA MOD5 I/O CONN LEITCH VDA6800+;;;;1;;;;;
1;3;13;1;282,5679;230;PNC MSYNC8 DA MOD10 I/O CONN LEITCH VDA6800;1002672;;PNC MSYNC8 DA MOD10 I/O CONN LEITCH VDA6800;PNC MSYNC8 DA MOD10 I/O CONN LEITCH VDA6800;PNC MSYNC8 DA MOD10 I/O CONN LEITCH VDA6800;PNC MSYNC8 DA MOD10 I/O CONN LEITCH VDA6800;;;;1;;;;;
1;3;13;1;142,8399;116;PNC CONN CARDDOUBLE10 I/O FOR VDA6800+ LEITCH V;1002674;;PNC CONN CARDDOUBLE10 I/O FOR VDA6800+ LEITCH V;PNC CONN CARDDOUBLE10 I/O FOR VDA6800+ LEITCH V;PNC CONN CARDDOUBLE10 I/O FOR VDA6800+ LEITCH V;PNC CONN CARDDOUBLE10 I/O FOR VDA6800+ LEITCH V;;;;1;;;;;
1;3;13;1;405,2112;329;PNC VIDEO4 DA MOD EQUAL 5 I/O CONN LEITCH VE;1002676;;PNC VIDEO4 DA MOD EQUAL 5 I/O CONN LEITCH VE;PNC VIDEO4 DA MOD EQUAL 5 I/O CONN LEITCH VE;PNC VIDEO4 DA MOD EQUAL 5 I/O CONN LEITCH VE;PNC VIDEO4 DA MOD EQUAL 5 I/O CONN LEITCH VE;;;;1;;;;;
1;3;13;1;423,8211;345;PNC VIDEO8 DA MOD EQ UAL10 I/O CONN LEITCH V;1002677;;PNC VIDEO8 DA MOD EQ UAL10 I/O CONN LEITCH V;PNC VIDEO8 DA MOD EQ UAL10 I/O CONN LEITCH V;PNC VIDEO8 DA MOD EQ UAL10 I/O CONN LEITCH V;PNC VIDEO8 DA MOD EQ UAL10 I/O CONN LEITCH V;;;;1;;;;;
1;3;13;1;142,8399;116;PNC CONN CARDDOUBLE 10 I/O FOR VSI6800+ LEITCH V;1002684;;PNC CONN CARDDOUBLE 10 I/O FOR VSI6800+ LEITCH V;PNC CONN CARDDOUBLE 10 I/O FOR VSI6800+ LEITCH V;PNC CONN CARDDOUBLE 10 I/O FOR VSI6800+ LEITCH V;PNC CONN CARDDOUBLE 10 I/O FOR VSI6800+ LEITCH V;;;;1;;;;;
1;3;13;1;566,661;461;AES1X4 BALANCED AES AUDIO DA MOD 2CH W/ 5 I/O CONN;1002686;;AES1X4 BALANCED AES AUDIO DA MOD 2CH W/ 5 I/O CONN;AES1X4 BALANCED AES AUDIO DA MOD 2CH W/ 5 I/O CONN;AES1X4 BALANCED AES AUDIO DA MOD 2CH W/ 5 I/O CONN;AES1X4 BALANCED AES AUDIO DA MOD 2CH W/ 5 I/O CONN;;;;1;;;;;
1;3;13;1;700,1775;569;PNC AES8 BAL DA MOD2CH 10 I/O CONN LEITCH AES6;1002687;;PNC AES8 BAL DA MOD2CH 10 I/O CONN LEITCH AES6;PNC AES8 BAL DA MOD2CH 10 I/O CONN LEITCH AES6;PNC AES8 BAL DA MOD2CH 10 I/O CONN LEITCH AES6;PNC AES8 BAL DA MOD2CH 10 I/O CONN LEITCH AES6;;;;1;;;;;
1;3;13;1;147,477;120;PNC CONN CARDDBL10 I/O FOR AES6800+B LEITCH AES;1002689;;PNC CONN CARDDBL10 I/O FOR AES6800+B LEITCH AES;PNC CONN CARDDBL10 I/O FOR AES6800+B LEITCH AES;PNC CONN CARDDBL10 I/O FOR AES6800+B LEITCH AES;PNC CONN CARDDBL10 I/O FOR AES6800+B LEITCH AES;;;;1;;;;;
1;3;13;1;273,2322;222;PNC 3WAY ASI SPLITTER W/ BRACKET MINICIRCUITSZFSC;1002715;;PNC 3WAY ASI SPLITTER W/ BRACKET MINICIRCUITSZFSC;PNC 3WAY ASI SPLITTER W/ BRACKET MINICIRCUITSZFSC;PNC 3WAY ASI SPLITTER W/ BRACKET MINICIRCUITSZFSC;PNC 3WAY ASI SPLITTER W/ BRACKET MINICIRCUITSZFSC;;;;1;;;;;
1;3;13;1;372,6039;303;PNC 4WAY ASI SPLITTER W/ BRACKET MINICIRCUITS ZFS;1002716;;PNC 4WAY ASI SPLITTER W/ BRACKET MINICIRCUITS ZFS;PNC 4WAY ASI SPLITTER W/ BRACKET MINICIRCUITS ZFS;PNC 4WAY ASI SPLITTER W/ BRACKET MINICIRCUITS ZFS;PNC 4WAY ASI SPLITTER W/ BRACKET MINICIRCUITS ZFS;;;;1;;;;;
1;3;13;1;149,0391;121;DIVIDER2WAYAES/EBU 1 X LRF TO 2 XLRM;1002719;;DIVIDER2WAYAES/EBU 1 X LRF TO 2 XLRM;DIVIDER2WAYAES/EBU 1 X LRF TO 2 XLRM;DIVIDER2WAYAES/EBU 1 X LRF TO 2 XLRM;DIVIDER2WAYAES/EBU 1 X LRF TO 2 XLRM;;;;1;;;;;
1;3;13;1;121,0935;98;XFMR110 BAL XLRF IN 75 UNBAL BNCF OUT;1002720;;XFMR110 BAL XLRF IN 75 UNBAL BNCF OUT;XFMR110 BAL XLRF IN 75 UNBAL BNCF OUT;XFMR110 BAL XLRF IN 75 UNBAL BNCF OUT;XFMR110 BAL XLRF IN 75 UNBAL BNCF OUT;;;;1;;;;;
1;3;13;1;107,1207;87;PNC XFORMERBNCF TO XLR SHORT PROFILE PANEL MT;1002722;;PNC XFORMERBNCF TO XLR SHORT PROFILE PANEL MT;PNC XFORMERBNCF TO XLR SHORT PROFILE PANEL MT;PNC XFORMERBNCF TO XLR SHORT PROFILE PANEL MT;PNC XFORMERBNCF TO XLR SHORT PROFILE PANEL MT;;;;1;;;;;
