Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;897;1;49,6059;40,33;ACAD KPT (KAI S POWER TOOLS) V6.0 PWRMAC CLP CREATIVE ACADEMIC;0;;ACAD KPT (KAI S POWER TOOLS) V6.0 PWRMAC CLP CREATIVE ACADEMIC;ACAD KPT (KAI S POWER TOOLS) V6.0 PWRMAC CLP CREATIVE ACADEMIC;ACAD KPT (KAI S POWER TOOLS) V6.0 PWRMAC CLP CREATIVE ACADEMIC;ACAD KPT (KAI S POWER TOOLS) V6.0 PWRMAC CLP CREATIVE ACADEMIC;;;;64;;
1;3;897;1;31,7094;25,78;COREL VENTURA 10 USER GUIDE ENG;137CVENG10;;COREL VENTURA 10 USER GUIDE ENG;COREL VENTURA 10 USER GUIDE ENG;COREL VENTURA 10 USER GUIDE ENG;COREL VENTURA 10 USER GUIDE ENG;;;;64;;
1;3;897;1;64,9317;52,79;EASY VHS TO DVD;242500;;EASY VHS TO DVD;EASY VHS TO DVD;EASY VHS TO DVD;EASY VHS TO DVD;;;;64;;
1;3;897;1;84,4887;68,69;EASY VHS TO DVD FOR MAC;243100;;EASY VHS TO DVD FOR MAC;EASY VHS TO DVD FOR MAC;EASY VHS TO DVD FOR MAC;EASY VHS TO DVD FOR MAC;;;;64;;
1;3;897;1;74,0829;60,23;EASY LP TO MP3 CONVERT LPS & CASSETTES TO MP3;243600;;EASY LP TO MP3 CONVERT LPS & CASSETTES TO MP3;EASY LP TO MP3 CONVERT LPS & CASSETTES TO MP3;EASY LP TO MP3 CONVERT LPS & CASSETTES TO MP3;EASY LP TO MP3 CONVERT LPS & CASSETTES TO MP3;;;;64;;
1;3;897;1;138,2028;112,36;CREATOR 2011 PRO;246100;;CREATOR 2011 PRO;CREATOR 2011 PRO;CREATOR 2011 PRO;CREATOR 2011 PRO;;;;64;;
1;3;897;1;104,796;85,2;TOAST 11 TITANIUM MAC;247000;;TOAST 11 TITANIUM MAC;TOAST 11 TITANIUM MAC;TOAST 11 TITANIUM MAC;TOAST 11 TITANIUM MAC;;;;64;;
1;3;897;1;87,2685;70,95;ACAD TOAST 11 TITANIUM MAC;247000ED;;ACAD TOAST 11 TITANIUM MAC;ACAD TOAST 11 TITANIUM MAC;ACAD TOAST 11 TITANIUM MAC;ACAD TOAST 11 TITANIUM MAC;;;;64;;
1;3;897;1;74,415;60,5;VIDEO LAB HD;247900;;VIDEO LAB HD;VIDEO LAB HD;VIDEO LAB HD;VIDEO LAB HD;;;;64;;
1;3;897;1;107,8341;87,67;ROXIO GAME CAPTURE;248400;;ROXIO GAME CAPTURE;ROXIO GAME CAPTURE;ROXIO GAME CAPTURE;ROXIO GAME CAPTURE;;;;64;;
1;3;897;1;53,1483;43,21;PC GAME CAPTURE;248900;;PC GAME CAPTURE;PC GAME CAPTURE;PC GAME CAPTURE;PC GAME CAPTURE;;;;64;;
1;3;897;1;31,6725;25,75;EASY CD & DVD BURNING (2011);249000;;EASY CD & DVD BURNING (2011);EASY CD & DVD BURNING (2011);EASY CD & DVD BURNING (2011);EASY CD & DVD BURNING (2011);;;;64;;
1;3;897;1;104,181;84,7;ROXIO CREATOR 2012;250000;;ROXIO CREATOR 2012;ROXIO CREATOR 2012;ROXIO CREATOR 2012;ROXIO CREATOR 2012;;;;64;;
1;3;897;1;133,1106;108,22;ROXIO CREATOR 2012 PRO;250100;;ROXIO CREATOR 2012 PRO;ROXIO CREATOR 2012 PRO;ROXIO CREATOR 2012 PRO;ROXIO CREATOR 2012 PRO;;;;64;;
