Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;9;12;1;1900,35;1545;Elf with BT, 802.11abg, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;944301000;;Elf with BT, 802.11abg, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;Elf with BT, 802.11abg, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;Elf with BT, 802.11abg, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;Elf with BT, 802.11abg, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;;38 = 256;;325;;
1;9;12;1;1900,35;1545;Elf with BT, 802.11abg, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46K QWERTY;944301008;;Elf with BT, 802.11abg, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46K QWERTY;Elf with BT, 802.11abg, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46K QWERTY;Elf with BT, 802.11abg, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46K QWERTY;Elf with BT, 802.11abg, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46K QWERTY;;38 = 256;;325;;
1;9;12;1;2084,85;1695;Elf with BT, 802.11abg, Std Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;944301001;;Elf with BT, 802.11abg, Std Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;Elf with BT, 802.11abg, Std Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;Elf with BT, 802.11abg, Std Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;Elf with BT, 802.11abg, Std Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;;38 = 256;;325;;
1;9;12;1;2084,85;1695;Elf with BT, 802.11abg, Std Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46K QWERTY;944301009;;Elf with BT, 802.11abg, Std Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46K QWERTY;Elf with BT, 802.11abg, Std Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46K QWERTY;Elf with BT, 802.11abg, Std Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46K QWERTY;Elf with BT, 802.11abg, Std Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46K QWERTY;;38 = 256;;325;;
1;9;12;1;2392,35;1945;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;944301003;;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser , GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K num;;38 = 256;;325;;
1;9;12;1;2392,35;1945;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser, GreenSpot, 3MP Cam,WM6.5, 256/256MB, 46KQWERTY;944301002;;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser, GreenSpot, 3MP Cam,WM6.5, 256/256MB, 46KQWERTY;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser, GreenSpot, 3MP Cam,WM6.5, 256/256MB, 46KQWERTY;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser, GreenSpot, 3MP Cam,WM6.5, 256/256MB, 46KQWERTY;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser, GreenSpot, 3MP Cam,WM6.5, 256/256MB, 46KQWERTY;;38 = 256;;325;;
1;9;12;1;2576,85;2095;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser, GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K Num;944301004;;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser, GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K Num;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser, GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K Num;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser, GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K Num;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS, Laser, GreenSpot, 3MP Cam, WM6.5, 256/256MB, 27K Num;;38 = 256;;325;;
1;9;12;1;2576,85;2095;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS,Laser, GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46KQWERTY;944301005;;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS,Laser, GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46KQWERTY;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS,Laser, GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46KQWERTY;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS,Laser, GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46KQWERTY;Elf with BT, 802.11abg, 3.5G UMTS HSDPA, GPS,Laser, GreenSpot, 3MP Cam, WM6.5, 256/256MB, 46KQWERTY;;38 = 256;;325;;
1;9;12;1;116,85;95;"Module, Ethernet, Single Slot Dock;Module, Ethernet Communication for Single Slot Dock";94ACC1371;;"Module, Ethernet, Single Slot Dock;Module, Ethernet Communication for Single Slot Dock";"Module, Ethernet, Single Slot Dock;Module, Ethernet Communication for Single Slot Dock";"Module, Ethernet, Single Slot Dock;Module, Ethernet Communication for Single Slot Dock";"Module, Ethernet, Single Slot Dock;Module, Ethernet Communication for Single Slot Dock";;;;325;;
