Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;9;29;1;265,68;216;Kit, Deluxe Dashmount and Paper Tray 1);220154-100;;Kit, Deluxe Dashmount and Paper Tray 1);Kit, Deluxe Dashmount and Paper Tray 1);Kit, Deluxe Dashmount and Paper Tray 1);Kit, Deluxe Dashmount and Paper Tray 1);;;;27;;
1;9;29;1;492;400;E-4204B, 203dpi, 4ips, Fixed Sensor, LED/But. DT,  , Std Font , DPL , 64MB/16MB, Serial, USB,;EB2-00-0L000B00;;E-4204B, 203dpi, 4ips, Fixed Sensor, LED/But. DT,  , Std Font , DPL , 64MB/16MB, Serial, USB,;E-4204B, 203dpi, 4ips, Fixed Sensor, LED/But. DT,  , Std Font , DPL , 64MB/16MB, Serial, USB,;E-4204B, 203dpi, 4ips, Fixed Sensor, LED/But. DT,  , Std Font , DPL , 64MB/16MB, Serial, USB,;E-4204B, 203dpi, 4ips, Fixed Sensor, LED/But. DT,  , Std Font , DPL , 64MB/16MB, Serial, USB,;;;;27;;
1;9;29;1;590,4;480;Basic E-4304B, 300dpi, 4ips, Fixed Sensor, LED/Button Interface, DT, British & European Power Cords,;EB3-00-0E000B00;;Basic E-4304B, 300dpi, 4ips, Fixed Sensor, LED/Button Interface, DT, British & European Power Cords,;Basic E-4304B, 300dpi, 4ips, Fixed Sensor, LED/Button Interface, DT, British & European Power Cords,;Basic E-4304B, 300dpi, 4ips, Fixed Sensor, LED/Button Interface, DT, British & European Power Cords,;Basic E-4304B, 300dpi, 4ips, Fixed Sensor, LED/Button Interface, DT, British & European Power Cords,;;;;27;;
1;9;29;1;1776,12;1444;Datamax-ONeil Drukarka przenosna iglowa RP2000 270cps, Serial;209160-100;;Datamax-ONeil RP2000 portable impact printer, 270 cps, Serial;Datamax-ONeil Drukarka przenosna iglowa RP2000 270cps, Serial;Datamax-ONeil RP2000 portable impact printer, 270 cps, Serial;Datamax-ONeil Drukarka przenosna iglowa RP2000 270cps, Serial;;;;27;;
1;9;29;1;123;100;Kabel do komunikacji PC z drukarka RP2000;210242-000;;RP2000 cable;Kabel do komunikacji PC z drukarka RP2000;RP2000 cable;Kabel do komunikacji PC z drukarka RP2000;;;;27;;
1;9;29;1;1476;1200;O'Neil kabel komunikacyjny do drukarki RP2000;210242-100;;RP2000 cable;O'Neil kabel komunikacyjny do drukarki RP2000;RP2000 cable;O'Neil kabel komunikacyjny do drukarki RP2000;;;;27;;
1;9;29;1;120,54;98;adowarka stacjonarna 220V do drukarki MF8i / RP2000;220181-100;;AC Adapter, Universal High Capacity, Euro plug MF8i / RP2000;adowarka stacjonarna 220V do drukarki MF8i / RP2000;AC Adapter, Universal High Capacity, Euro plug MF8i / RP2000;adowarka stacjonarna 220V do drukarki MF8i / RP2000;;;;27;;
1;9;29;1;2460;2000;O'Neil glowica 240cps do drukarki RP2000;250045-100;;RP2000 printhead;O'Neil glowica 240cps do drukarki RP2000;RP2000 printhead;O'Neil glowica 240cps do drukarki RP2000;;;;27;;
1;9;29;1;2460;2000;O'Neil plytka elektroniki do drukarki RP2000;261163-100;;RP2000 mainboard;O'Neil plytka elektroniki do drukarki RP2000;RP2000 mainboard;O'Neil plytka elektroniki do drukarki RP2000;;;;27;;
