Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;1029;1;7019,6592;5707,04;22IN LCD 1920X1200 400:1 CG221-BK 2DVI BLK 30MS PVT HGT TLT;CG221-BK;;22IN LCD 1920X1200 400:1 CG221-BK 2DVI BLK 30MS PVT HGT TLT;22IN LCD 1920X1200 400:1 CG221-BK 2DVI BLK 30MS PVT HGT TLT;22IN LCD 1920X1200 400:1 CG221-BK 2DVI BLK 30MS PVT HGT TLT;22IN LCD 1920X1200 400:1 CG221-BK 2DVI BLK 30MS PVT HGT TLT;;;;47;;
1;3;1029;1;1860,0552;1512,24;22IN LCD 1650X1050 950:1 COLOREDGE CG223W-BK DVI BLK;CG223W-BK;;22IN LCD 1650X1050 950:1 COLOREDGE CG223W-BK DVI BLK;22IN LCD 1650X1050 950:1 COLOREDGE CG223W-BK DVI BLK;22IN LCD 1650X1050 950:1 COLOREDGE CG223W-BK DVI BLK;22IN LCD 1650X1050 950:1 COLOREDGE CG223W-BK DVI BLK;;;;47;;
1;3;1029;1;2312,2524;1879,88;24IN WS LCD 1920X1200 850:1 CG241W-BK 2DVI BLK 8MS;CG241W-BK;;24IN WS LCD 1920X1200 850:1 CG241W-BK 2DVI BLK 8MS;24IN WS LCD 1920X1200 850:1 CG241W-BK 2DVI BLK 8MS;24IN WS LCD 1920X1200 850:1 CG241W-BK 2DVI BLK 8MS;24IN WS LCD 1920X1200 850:1 CG241W-BK 2DVI BLK 8MS;;;;47;;
1;3;1029;1;2648,7312;2153,44;24.1IN WS LCD 1920X1200 850:1 CG243W-BK DVI BLACK 13MS PVT TILT;CG243W-BK;;24.1IN WS LCD 1920X1200 850:1 CG243W-BK DVI BLACK 13MS PVT TILT;24.1IN WS LCD 1920X1200 850:1 CG243W-BK DVI BLACK 13MS PVT TILT;24.1IN WS LCD 1920X1200 850:1 CG243W-BK DVI BLACK 13MS PVT TILT;24.1IN WS LCD 1920X1200 850:1 CG243W-BK DVI BLACK 13MS PVT TILT;;;;47;;
1;3;1029;1;3790,5033;3081,71;24IN LCD 1920X1200 850:1 CG245W-BK DVI-I DP BLACK 13MS;CG245W-BK;;24IN LCD 1920X1200 850:1 CG245W-BK DVI-I DP BLACK 13MS;24IN LCD 1920X1200 850:1 CG245W-BK DVI-I DP BLACK 13MS;24IN LCD 1920X1200 850:1 CG245W-BK DVI-I DP BLACK 13MS;24IN LCD 1920X1200 850:1 CG245W-BK DVI-I DP BLACK 13MS;;;;47;;
1;3;1029;1;4236,4275;3444,25;27IN WS LCD 2560X1440 850:1 CG275W-BK;CG275W-BK;;27IN WS LCD 2560X1440 850:1 CG275W-BK;27IN WS LCD 2560X1440 850:1 CG275W-BK;27IN WS LCD 2560X1440 850:1 CG275W-BK;27IN WS LCD 2560X1440 850:1 CG275W-BK;;;;47;;
1;3;1029;1;257,6358;209,46;LCD HOOD FOR COLOREDGE CG243W CG241W FLEXSCAN SX2462W;CH4-BK;;LCD HOOD FOR COLOREDGE CG243W CG241W FLEXSCAN SX2462W;LCD HOOD FOR COLOREDGE CG243W CG241W FLEXSCAN SX2462W;LCD HOOD FOR COLOREDGE CG243W CG241W FLEXSCAN SX2462W;LCD HOOD FOR COLOREDGE CG243W CG241W FLEXSCAN SX2462W;;;;47;;
1;3;1029;1;205,041;166,7;COLOR MATCHING TOOL INCLUDES EASYPIX SW & EX1 COLOR SENSOR;EASYPIX;;COLOR MATCHING TOOL INCLUDES EASYPIX SW & EX1 COLOR SENSOR;COLOR MATCHING TOOL INCLUDES EASYPIX SW & EX1 COLOR SENSOR;COLOR MATCHING TOOL INCLUDES EASYPIX SW & EX1 COLOR SENSOR;COLOR MATCHING TOOL INCLUDES EASYPIX SW & EX1 COLOR SENSOR;;;;47;;
1;3;1029;1;779,1558;633,46;23IN WS LCD 1920X1080 3000:1 EV2333WT-BK DVI VGA BLK 25MS;EV2333WT-BK;;23IN WS LCD 1920X1080 3000:1 EV2333WT-BK DVI VGA BLK 25MS;23IN WS LCD 1920X1080 3000:1 EV2333WT-BK DVI VGA BLK 25MS;23IN WS LCD 1920X1080 3000:1 EV2333WT-BK DVI VGA BLK 25MS;23IN WS LCD 1920X1080 3000:1 EV2333WT-BK DVI VGA BLK 25MS;;;;47;;
1;3;1029;1;1118,1192;909,04;17IN LCD 1280X1024 1000:1 DURAVISION FDS1701-BK VGA BLACK;FDS1701-BK;;17IN LCD 1280X1024 1000:1 DURAVISION FDS1701-BK VGA BLACK;17IN LCD 1280X1024 1000:1 DURAVISION FDS1701-BK VGA BLACK;17IN LCD 1280X1024 1000:1 DURAVISION FDS1701-BK VGA BLACK;17IN LCD 1280X1024 1000:1 DURAVISION FDS1701-BK VGA BLACK;;;;47;;
1;3;1029;1;227,3286;184,82;OPTIONAL PROTECTOR PANEL FOR S2410W;FP-2400W;;OPTIONAL PROTECTOR PANEL FOR S2410W;OPTIONAL PROTECTOR PANEL FOR S2410W;OPTIONAL PROTECTOR PANEL FOR S2410W;OPTIONAL PROTECTOR PANEL FOR S2410W;;;;47;;
1;3;1029;1;717,1392;583,04;23IN WS LCD 1920X1080 1000:1 FLEXSCAN FS2332-BK HDMI BLACK 16MS;FS2332-BK;;23IN WS LCD 1920X1080 1000:1 FLEXSCAN FS2332-BK HDMI BLACK 16MS;23IN WS LCD 1920X1080 1000:1 FLEXSCAN FS2332-BK HDMI BLACK 16MS;23IN WS LCD 1920X1080 1000:1 FLEXSCAN FS2332-BK HDMI BLACK 16MS;23IN WS LCD 1920X1080 1000:1 FLEXSCAN FS2332-BK HDMI BLACK 16MS;;;;47;;
1;3;1029;1;1785,6648;1451,76;24IN WS LCD 1920X1200 1000:1 FX2431-BK SVID HDMI BLK 16MS;FX2431-BK;;24IN WS LCD 1920X1200 1000:1 FX2431-BK SVID HDMI BLK 16MS;24IN WS LCD 1920X1200 1000:1 FX2431-BK SVID HDMI BLK 16MS;24IN WS LCD 1920X1200 1000:1 FX2431-BK SVID HDMI BLK 16MS;24IN WS LCD 1920X1200 1000:1 FX2431-BK SVID HDMI BLK 16MS;;;;47;;
1;3;1029;1;2973,1314;2417,18;18.1IN LCD MONO 600:1 1MP 1280X1024 RADIFORCE G11-BK BLACK;G11-BK;;18.1IN LCD MONO 600:1 1MP 1280X1024 RADIFORCE G11-BK BLACK;18.1IN LCD MONO 600:1 1MP 1280X1024 RADIFORCE G11-BK BLACK;18.1IN LCD MONO 600:1 1MP 1280X1024 RADIFORCE G11-BK BLACK;18.1IN LCD MONO 600:1 1MP 1280X1024 RADIFORCE G11-BK BLACK;;;;47;;
