Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;8;1;728,16;592,00;HP 3y 4h 13x5 ProLiant ML310 HW Support;U4446E;;HP 3y 4h 13x5 ProLiant ML310 HW Support;HP 3y 4h 13x5 ProLiant ML310 HW Support;HP 3y 4h 13x5 ProLiant ML310 HW Support;HP 3y 4h 13x5 ProLiant ML310 HW Support;;;;45;;
1;3;8;1;861;700,00;HP 3y 4h 24x7 ProLiant ML310 HW Support;U4447E;;HP 3y 4h 24x7 ProLiant ML310 HW Support;HP 3y 4h 24x7 ProLiant ML310 HW Support;HP 3y 4h 24x7 ProLiant ML310 HW Support;HP 3y 4h 24x7 ProLiant ML310 HW Support;;;;45;;
1;3;8;1;1282,89;1043,00;HP 3y 6h 24x7 CTR ProLiant ML310 HW Supp;U4448E;;HP 3y 6h 24x7 CTR ProLiant ML310 HW Supp;HP 3y 6h 24x7 CTR ProLiant ML310 HW Supp;HP 3y 6h 24x7 CTR ProLiant ML310 HW Supp;HP 3y 6h 24x7 CTR ProLiant ML310 HW Supp;;;;45;;
1;3;8;1;498,15;405,00;HP 1y PW 4h13x5 ProLiant ML310 G1 HWSupp;U4453PE;;HP 1y PW 4h13x5 ProLiant ML310 G1 HWSupp;HP 1y PW 4h13x5 ProLiant ML310 G1 HWSupp;HP 1y PW 4h13x5 ProLiant ML310 G1 HWSupp;HP 1y PW 4h13x5 ProLiant ML310 G1 HWSupp;;;;45;;
1;3;8;1;568,26;462,00;HP 1y PW 4h24x7 ProLiant ML310 G1 HWSupp;U4454PE;;HP 1y PW 4h24x7 ProLiant ML310 G1 HWSupp;HP 1y PW 4h24x7 ProLiant ML310 G1 HWSupp;HP 1y PW 4h24x7 ProLiant ML310 G1 HWSupp;HP 1y PW 4h24x7 ProLiant ML310 G1 HWSupp;;;;45;;
1;3;8;1;1255,83;1021,00;HP 1y PW 4h13x5 ProLiant ML330 G2 HWSupp;U4470PE;;HP 1y PW 4h13x5 ProLiant ML330 G2 HWSupp;HP 1y PW 4h13x5 ProLiant ML330 G2 HWSupp;HP 1y PW 4h13x5 ProLiant ML330 G2 HWSupp;HP 1y PW 4h13x5 ProLiant ML330 G2 HWSupp;;;;45;;
1;3;8;1;1434,18;1166,00;HP 1y PW 4h24x7 ProLiant ML330 G2 HWSupp;U4471PE;;HP 1y PW 4h24x7 ProLiant ML330 G2 HWSupp;HP 1y PW 4h24x7 ProLiant ML330 G2 HWSupp;HP 1y PW 4h24x7 ProLiant ML330 G2 HWSupp;HP 1y PW 4h24x7 ProLiant ML330 G2 HWSupp;;;;45;;
1;3;8;1;2001,21;1627,00;HP 1yPW 6h24x7CTR ProLiantML330G2 HWSupp;U4472PE;;HP 1yPW 6h24x7CTR ProLiantML330G2 HWSupp;HP 1yPW 6h24x7CTR ProLiantML330G2 HWSupp;HP 1yPW 6h24x7CTR ProLiantML330G2 HWSupp;HP 1yPW 6h24x7CTR ProLiantML330G2 HWSupp;;;;45;;
1;3;8;1;413,28;336,00;HP 3y 4h 13x5 ProLiant DL320 HW Support;U4480E;;HP 3y 4h 13x5 ProLiant DL320 HW Support;HP 3y 4h 13x5 ProLiant DL320 HW Support;HP 3y 4h 13x5 ProLiant DL320 HW Support;HP 3y 4h 13x5 ProLiant DL320 HW Support;;;;45;;
