Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;1399;1;66,8874;54,38;Kaspersky AV 2011 3user/1Yr;KAV1103121;;Kaspersky AV 2011 3user/1Yr;Kaspersky AV 2011 3user/1Yr;Kaspersky AV 2011 3user/1Yr;Kaspersky AV 2011 3user/1Yr;;;;70;;
1;3;1399;1;57,6747;46,89;KAV 2012 1U 1YR 3 CD OEM AUTH REQ;KAV1201121USXA;;KAV 2012 1U 1YR 3 CD OEM AUTH REQ;KAV 2012 1U 1YR 3 CD OEM AUTH REQ;KAV 2012 1U 1YR 3 CD OEM AUTH REQ;KAV 2012 1U 1YR 3 CD OEM AUTH REQ;;;;70;;
1;3;1399;1;461,4222;375,14;KAV 2012 1U 1YR 30 CD OEM AUTH REQ;KAV1201121USXB;;KAV 2012 1U 1YR 30 CD OEM AUTH REQ;KAV 2012 1U 1YR 30 CD OEM AUTH REQ;KAV 2012 1U 1YR 30 CD OEM AUTH REQ;KAV 2012 1U 1YR 30 CD OEM AUTH REQ;;;;70;;
1;3;1399;1;1076,6436;875,32;KAV 2012 1U 1YR 100 CD OEM AUTH REQ;KAV1201121USXC;;KAV 2012 1U 1YR 100 CD OEM AUTH REQ;KAV 2012 1U 1YR 100 CD OEM AUTH REQ;KAV 2012 1U 1YR 100 CD OEM AUTH REQ;KAV 2012 1U 1YR 100 CD OEM AUTH REQ;;;;70;;
1;3;1399;1;66,8874;54,38;Kaspersky AV 2012 3user/1Yr;KAV1203121;;Kaspersky AV 2012 3user/1Yr;Kaspersky AV 2012 3user/1Yr;Kaspersky AV 2012 3user/1Yr;Kaspersky AV 2012 3user/1Yr;;;;70;;
1;3;1399;1;64,206;52,2;1YR ANTI-VIRUS 2012 3DT BOX;KAV1203121USZZ;;1YR ANTI-VIRUS 2012 3DT BOX;1YR ANTI-VIRUS 2012 3DT BOX;1YR ANTI-VIRUS 2012 3DT BOX;1YR ANTI-VIRUS 2012 3DT BOX;;;;70;;
1;3;1399;1;88,2525;71,75;Kaspersky IS 2011 3user/1Yr;KIS1103121;;Kaspersky IS 2011 3user/1Yr;Kaspersky IS 2011 3user/1Yr;Kaspersky IS 2011 3user/1Yr;Kaspersky IS 2011 3user/1Yr;;;;70;;
1;3;1399;1;143,4426;116,62;Intrnet Sec Home Ed 2011 5U/1Y;KIS1105121;;Intrnet Sec Home Ed 2011 5U/1Y;Intrnet Sec Home Ed 2011 5U/1Y;Intrnet Sec Home Ed 2011 5U/1Y;Intrnet Sec Home Ed 2011 5U/1Y;;;;70;;
1;3;1399;1;88,2525;71,75;Kaspersky IS 2012 3user/1Yr;KIS1203121;;Kaspersky IS 2012 3user/1Yr;Kaspersky IS 2012 3user/1Yr;Kaspersky IS 2012 3user/1Yr;Kaspersky IS 2012 3user/1Yr;;;;70;;
