Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;1469;1;223,5648;181,76;Projector Lenovo Lenovo ThinkVision C400 - DLP projector - 2650 ANSI lumens - XGA (1024 x 768) - 4:3 , Missing Remote and Cable.;0039A04-B3;;Projector Lenovo Lenovo ThinkVision C400 - DLP projector - 2650 ANSI lumens - XGA (1024 x 768) - 4:3 , Missing Remote and Cable.;Projector Lenovo Lenovo ThinkVision C400 - DLP projector - 2650 ANSI lumens - XGA (1024 x 768) - 4:3 , Missing Remote and Cable.;Projector Lenovo Lenovo ThinkVision C400 - DLP projector - 2650 ANSI lumens - XGA (1024 x 768) - 4:3 , Missing Remote and Cable.;Projector Lenovo Lenovo ThinkVision C400 - DLP projector - 2650 ANSI lumens - XGA (1024 x 768) - 4:3 , Missing Remote and Cable.;;;;46;;
1;3;1469;1;377,2656;306,72;Projector Lenovo Lenovo C500 - DLP projector - 3200 ANSI lumens - XGA (1024 x 768) - 4:3 -FRU: 41U3055 'Without Remote or Cable.;0039A05-B1;;Projector Lenovo Lenovo C500 - DLP projector - 3200 ANSI lumens - XGA (1024 x 768) - 4:3 -FRU: 41U3055 'Without Remote or Cable.;Projector Lenovo Lenovo C500 - DLP projector - 3200 ANSI lumens - XGA (1024 x 768) - 4:3 -FRU: 41U3055 'Without Remote or Cable.;Projector Lenovo Lenovo C500 - DLP projector - 3200 ANSI lumens - XGA (1024 x 768) - 4:3 -FRU: 41U3055 'Without Remote or Cable.;Projector Lenovo Lenovo C500 - DLP projector - 3200 ANSI lumens - XGA (1024 x 768) - 4:3 -FRU: 41U3055 'Without Remote or Cable.;;;;46;;
1;3;1469;1;962,4996;782,52;TOPSELLER EDGE SU7300 1.3G 3GB 320GB 13.3IN BT W7P GLOSS BLK;01964YU;;TOPSELLER EDGE SU7300 1.3G 3GB 320GB 13.3IN BT W7P GLOSS BLK;TOPSELLER EDGE SU7300 1.3G 3GB 320GB 13.3IN BT W7P GLOSS BLK;TOPSELLER EDGE SU7300 1.3G 3GB 320GB 13.3IN BT W7P GLOSS BLK;TOPSELLER EDGE SU7300 1.3G 3GB 320GB 13.3IN BT W7P GLOSS BLK;;;;46;;
1;3;1469;1;1400,601;1138,7;SU7300(1.3GHZ), 4GB RAM, 320GB 7200RPM HD, 13.3IN 1366X768 LCD, INTEL HD GRAPHICS, INTEL 802.11BGN WIRELESS, BLUETOOTH, 1GB ETHERNET, ULTRANAV, CAMERA, 6C LI-IO;01965QU;;SU7300(1.3GHZ), 4GB RAM, 320GB 7200RPM HD, 13.3IN 1366X768 LCD, INTEL HD GRAPHICS, INTEL 802.11BGN WIRELESS, BLUETOOTH, 1GB ETHERNET, ULTRANAV, CAMERA, 6C LI-IO;SU7300(1.3GHZ), 4GB RAM, 320GB 7200RPM HD, 13.3IN 1366X768 LCD, INTEL HD GRAPHICS, INTEL 802.11BGN WIRELESS, BLUETOOTH, 1GB ETHERNET, ULTRANAV, CAMERA, 6C LI-IO;SU7300(1.3GHZ), 4GB RAM, 320GB 7200RPM HD, 13.3IN 1366X768 LCD, INTEL HD GRAPHICS, INTEL 802.11BGN WIRELESS, BLUETOOTH, 1GB ETHERNET, ULTRANAV, CAMERA, 6C LI-IO;SU7300(1.3GHZ), 4GB RAM, 320GB 7200RPM HD, 13.3IN 1366X768 LCD, INTEL HD GRAPHICS, INTEL 802.11BGN WIRELESS, BLUETOOTH, 1GB ETHERNET, ULTRANAV, CAMERA, 6C LI-IO;;;;46;;
1;3;1469;1;725,7492;590,04;TOPSELLER EDGE L325 1.5G 2GB 250GB 13.3IN W7HP LED CAM;019726U;;TOPSELLER EDGE L325 1.5G 2GB 250GB 13.3IN W7HP LED CAM;TOPSELLER EDGE L325 1.5G 2GB 250GB 13.3IN W7HP LED CAM;TOPSELLER EDGE L325 1.5G 2GB 250GB 13.3IN W7HP LED CAM;TOPSELLER EDGE L325 1.5G 2GB 250GB 13.3IN W7HP LED CAM;;;;46;;
1;3;1469;1;804,6783;654,21;ATHLON L325(1.5GHZ), 3GB RAM, 250GB 5400RPM HD, 13.3IN 1366X768 LCD, ATI RADEONHD3200, 802.11BGN WIRELESS, 1GB ETHERNET, ULTRANAV, CAMERA, 6C LI-ION, WINXP PRO;01978CU;;ATHLON L325(1.5GHZ), 3GB RAM, 250GB 5400RPM HD, 13.3IN 1366X768 LCD, ATI RADEONHD3200, 802.11BGN WIRELESS, 1GB ETHERNET, ULTRANAV, CAMERA, 6C LI-ION, WINXP PRO;ATHLON L325(1.5GHZ), 3GB RAM, 250GB 5400RPM HD, 13.3IN 1366X768 LCD, ATI RADEONHD3200, 802.11BGN WIRELESS, 1GB ETHERNET, ULTRANAV, CAMERA, 6C LI-ION, WINXP PRO;ATHLON L325(1.5GHZ), 3GB RAM, 250GB 5400RPM HD, 13.3IN 1366X768 LCD, ATI RADEONHD3200, 802.11BGN WIRELESS, 1GB ETHERNET, ULTRANAV, CAMERA, 6C LI-ION, WINXP PRO;ATHLON L325(1.5GHZ), 3GB RAM, 250GB 5400RPM HD, 13.3IN 1366X768 LCD, ATI RADEONHD3200, 802.11BGN WIRELESS, 1GB ETHERNET, ULTRANAV, CAMERA, 6C LI-ION, WINXP PRO;;;;46;;
1;3;1469;1;638,37;519;TOPSELLER EDGE 14W ATH P320 2.1G 2GB 250GB DVDRW 14IN W7P LED;019927U;;TOPSELLER EDGE 14W ATH P320 2.1G 2GB 250GB DVDRW 14IN W7P LED;TOPSELLER EDGE 14W ATH P320 2.1G 2GB 250GB DVDRW 14IN W7P LED;TOPSELLER EDGE 14W ATH P320 2.1G 2GB 250GB DVDRW 14IN W7P LED;TOPSELLER EDGE 14W ATH P320 2.1G 2GB 250GB DVDRW 14IN W7P LED;;;;46;;
1;3;1469;1;1022,1669;831,03;TOPSELLER EDGE TUR P520 2.3G 4GB 320GB DVDRW 14IN BT W7P CAM;01992AU;;TOPSELLER EDGE TUR P520 2.3G 4GB 320GB DVDRW 14IN BT W7P CAM;TOPSELLER EDGE TUR P520 2.3G 4GB 320GB DVDRW 14IN BT W7P CAM;TOPSELLER EDGE TUR P520 2.3G 4GB 320GB DVDRW 14IN BT W7P CAM;TOPSELLER EDGE TUR P520 2.3G 4GB 320GB DVDRW 14IN BT W7P CAM;;;;46;;
1;3;1469;1;958,1946;779,02;TOPSELLER EDGE PHE P820 1.8G 2GB 250GB DVDRW 14IN W7P CAM;01992BU;;TOPSELLER EDGE PHE P820 1.8G 2GB 250GB DVDRW 14IN W7P CAM;TOPSELLER EDGE PHE P820 1.8G 2GB 250GB DVDRW 14IN W7P CAM;TOPSELLER EDGE PHE P820 1.8G 2GB 250GB DVDRW 14IN W7P CAM;TOPSELLER EDGE PHE P820 1.8G 2GB 250GB DVDRW 14IN W7P CAM;;;;46;;
