Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;1481;1;71,8566;58,42;REDRIVE ASSEMBLY 250IN/250OUT;0040X0029;;REDRIVE ASSEMBLY 250IN/250OUT;REDRIVE ASSEMBLY 250IN/250OUT;REDRIVE ASSEMBLY 250IN/250OUT;REDRIVE ASSEMBLY 250IN/250OUT;;;;27;;
1;3;1481;1;79,3596;64,52;REDRIVE ASSEMBLY 500IN/500OUT;0040X0030;;REDRIVE ASSEMBLY 500IN/500OUT;REDRIVE ASSEMBLY 500IN/500OUT;REDRIVE ASSEMBLY 500IN/500OUT;REDRIVE ASSEMBLY 500IN/500OUT;;;;27;;
1;3;1481;1;558,5799;454,13;FUSER FOR C91X 110V;0056P99;;FUSER FOR C91X 110V;FUSER FOR C91X 110V;FUSER FOR C91X 110V;FUSER FOR C91X 110V;;;;27;;
1;3;1481;1;162,3723;132,01;E320 TONER CART PREM REMAN;08A0144;;E320 TONER CART PREM REMAN;E320 TONER CART PREM REMAN;E320 TONER CART PREM REMAN;E320 TONER CART PREM REMAN;;;;27;;
1;3;1481;1;193,848;157,6;3K NON-PREBATE CARTRIDGE FOR E320/E322;08A0475;;3K NON-PREBATE CARTRIDGE FOR E320/E322;3K NON-PREBATE CARTRIDGE FOR E320/E322;3K NON-PREBATE CARTRIDGE FOR E320/E322;3K NON-PREBATE CARTRIDGE FOR E320/E322;;;;27;;
1;3;1481;1;125,1033;101,71;TONER CARTRIDGE - BLACK - 3000 PAGES FOR E32X PRINTER;08A0476;;TONER CARTRIDGE - BLACK - 3000 PAGES FOR E32X PRINTER;TONER CARTRIDGE - BLACK - 3000 PAGES FOR E32X PRINTER;TONER CARTRIDGE - BLACK - 3000 PAGES FOR E32X PRINTER;TONER CARTRIDGE - BLACK - 3000 PAGES FOR E32X PRINTER;;;;27;;
1;3;1481;1;203,5035;165,45;TONER CARTRIDGE - BLACK - 6000 PAGES BASED ON 5% COVERAGE;08A0477;;TONER CARTRIDGE - BLACK - 6000 PAGES BASED ON 5% COVERAGE;TONER CARTRIDGE - BLACK - 6000 PAGES BASED ON 5% COVERAGE;TONER CARTRIDGE - BLACK - 6000 PAGES BASED ON 5% COVERAGE;TONER CARTRIDGE - BLACK - 6000 PAGES BASED ON 5% COVERAGE;;;;27;;
1;3;1481;1;170,0598;138,26;TONER CARTRIDGE - BLACK - 6000 PAGES - FOR E320, E322;08A0478;;TONER CARTRIDGE - BLACK - 6000 PAGES - FOR E320, E322;TONER CARTRIDGE - BLACK - 6000 PAGES - FOR E320, E322;TONER CARTRIDGE - BLACK - 6000 PAGES - FOR E320, E322;TONER CARTRIDGE - BLACK - 6000 PAGES - FOR E320, E322;;;;27;;
1;3;1481;1;187,944;152,8;BLACK 2ND INPUT DRAWER ,250 SHEET FOR BL E320 E322 E322N;08A0691;;BLACK 2ND INPUT DRAWER ,250 SHEET FOR BL E320 E322 E322N;BLACK 2ND INPUT DRAWER ,250 SHEET FOR BL E320 E322 E322N;BLACK 2ND INPUT DRAWER ,250 SHEET FOR BL E320 E322 E322N;BLACK 2ND INPUT DRAWER ,250 SHEET FOR BL E320 E322 E322N;;;;27;;
1;3;1481;1;147,354;119,8;1 HOUR LEXMARK INTEGRATION SERVICE (TAA);90076;;1 HOUR LEXMARK INTEGRATION SERVICE (TAA);1 HOUR LEXMARK INTEGRATION SERVICE (TAA);1 HOUR LEXMARK INTEGRATION SERVICE (TAA);1 HOUR LEXMARK INTEGRATION SERVICE (TAA);;;;27;;
1;3;1481;1;57,2442;46,54;PARALLEL 1284-B INTERFACE CARD -- ROHS;1021091;;PARALLEL 1284-B INTERFACE CARD -- ROHS;PARALLEL 1284-B INTERFACE CARD -- ROHS;PARALLEL 1284-B INTERFACE CARD -- ROHS;PARALLEL 1284-B INTERFACE CARD -- ROHS;;;;27;;
1;3;1481;1;57,2442;46,54;RS-232C SERIAL INTERFACE CARD -- ROHS;1021092;;RS-232C SERIAL INTERFACE CARD -- ROHS;RS-232C SERIAL INTERFACE CARD -- ROHS;RS-232C SERIAL INTERFACE CARD -- ROHS;RS-232C SERIAL INTERFACE CARD -- ROHS;;;;27;;
1;3;1481;1;252,6666;205,42;LEXMARK - FLASH MEMORY CARD - 32 MB;1021208;;LEXMARK - FLASH MEMORY CARD - 32 MB;LEXMARK - FLASH MEMORY CARD - 32 MB;LEXMARK - FLASH MEMORY CARD - 32 MB;LEXMARK - FLASH MEMORY CARD - 32 MB;;;;27;;
1;3;1481;1;442,5294;359,78;LEXMARK - 64MB - FLASH MEMORY CARD;1021209;;LEXMARK - 64MB - FLASH MEMORY CARD;LEXMARK - 64MB - FLASH MEMORY CARD;LEXMARK - 64MB - FLASH MEMORY CARD;LEXMARK - 64MB - FLASH MEMORY CARD;;;;27;;
1;3;1481;1;29,1879;23,73;PARALLEL CABLE - 25 PIN D-SUB (DB-25) - MALE - 36 PIN CENTRONICS - MALE - 10 FEET;1021231;;PARALLEL CABLE - 25 PIN D-SUB (DB-25) - MALE - 36 PIN CENTRONICS - MALE - 10 FEET;PARALLEL CABLE - 25 PIN D-SUB (DB-25) - MALE - 36 PIN CENTRONICS - MALE - 10 FEET;PARALLEL CABLE - 25 PIN D-SUB (DB-25) - MALE - 36 PIN CENTRONICS - MALE - 10 FEET;PARALLEL CABLE - 25 PIN D-SUB (DB-25) - MALE - 36 PIN CENTRONICS - MALE - 10 FEET;;;;27;;
1;3;1481;1;266,5164;216,68;LEXMARK INTERNATIONAL - KOREAN FONT CARD;1021240;;LEXMARK INTERNATIONAL - KOREAN FONT CARD;LEXMARK INTERNATIONAL - KOREAN FONT CARD;LEXMARK INTERNATIONAL - KOREAN FONT CARD;LEXMARK INTERNATIONAL - KOREAN FONT CARD;;;;27;;
1;3;1481;1;266,2704;216,48;SIMPLIFIED CHINESE FONT CARD FOR T64X W84X/C920X;1021241;;SIMPLIFIED CHINESE FONT CARD FOR T64X W84X/C920X;SIMPLIFIED CHINESE FONT CARD FOR T64X W84X/C920X;SIMPLIFIED CHINESE FONT CARD FOR T64X W84X/C920X;SIMPLIFIED CHINESE FONT CARD FOR T64X W84X/C920X;;;;27;;
1;3;1481;1;266,5164;216,68;TRADITIONAL CHINESE FONT CARD FOR T64X/W84X/C920X;1021242;;TRADITIONAL CHINESE FONT CARD FOR T64X/W84X/C920X;TRADITIONAL CHINESE FONT CARD FOR T64X/W84X/C920X;TRADITIONAL CHINESE FONT CARD FOR T64X/W84X/C920X;TRADITIONAL CHINESE FONT CARD FOR T64X/W84X/C920X;;;;27;;
1;3;1481;1;266,1966;216,42;LEXMARK INTERNATIONAL - JAPANESE - FONT CARD;1021243;;LEXMARK INTERNATIONAL - JAPANESE - FONT CARD;LEXMARK INTERNATIONAL - JAPANESE - FONT CARD;LEXMARK INTERNATIONAL - JAPANESE - FONT CARD;LEXMARK INTERNATIONAL - JAPANESE - FONT CARD;;;;27;;
1;3;1481;1;117,6987;95,69;32MB SDRAM DIMM F/E24X/E250X/E35X/E450X PRINTERS;1021257;;32MB SDRAM DIMM F/E24X/E250X/E35X/E450X PRINTERS;32MB SDRAM DIMM F/E24X/E250X/E35X/E450X PRINTERS;32MB SDRAM DIMM F/E24X/E250X/E35X/E450X PRINTERS;32MB SDRAM DIMM F/E24X/E250X/E35X/E450X PRINTERS;;;;27;;
1;3;1481;1;419,1717;340,79;64MB SDRAM LEXMARK E AND C SERIES;1021258;;64MB SDRAM LEXMARK E AND C SERIES;64MB SDRAM LEXMARK E AND C SERIES;64MB SDRAM LEXMARK E AND C SERIES;64MB SDRAM LEXMARK E AND C SERIES;;;;27;;
1;3;1481;1;723,1785;587,95;256MB SDRAM DIMM ROHS COMPLIANT;1021260;;256MB SDRAM DIMM ROHS COMPLIANT;256MB SDRAM DIMM ROHS COMPLIANT;256MB SDRAM DIMM ROHS COMPLIANT;256MB SDRAM DIMM ROHS COMPLIANT;;;;27;;
