Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;1597;1;226,32;184;Access 2010 Sngl OLP C;077-06124;;Access 2010 Sngl OLP C;Access 2010 Sngl OLP C;Access 2010 Sngl OLP C;Access 2010 Sngl OLP C;;;;64;;
1;3;1597;1;357,93;291;Access SNGL LicSAPk OLP C;077-02523;;Access SNGL LicSAPk OLP C;Access SNGL LicSAPk OLP C;Access SNGL LicSAPk OLP C;Access SNGL LicSAPk OLP C;;;;64;;
1;3;1597;1;131,61;107;Access Sngl SA OLP C;077-02657;;Access Sngl SA OLP C;Access Sngl SA OLP C;Access Sngl SA OLP C;Access Sngl SA OLP C;;;;64;;
1;3;1597;1;38,13;31;AutoRouteEuro 2011 SNGL OLP C;689-01131;;AutoRouteEuro 2011 SNGL OLP C;AutoRouteEuro 2011 SNGL OLP C;AutoRouteEuro 2011 SNGL OLP C;AutoRouteEuro 2011 SNGL OLP C;;;;64;;
1;3;1597;1;59,04;48;AutoRouteEuro Win32 SNGL LicSAPk OLP C;689-00381;;AutoRouteEuro Win32 SNGL LicSAPk OLP C;AutoRouteEuro Win32 SNGL LicSAPk OLP C;AutoRouteEuro Win32 SNGL LicSAPk OLP C;AutoRouteEuro Win32 SNGL LicSAPk OLP C;;;;64;;
1;3;1597;1;22,14;18;AutoRouteEuro Win32 SNGL SA OLP C;689-00433;;AutoRouteEuro Win32 SNGL SA OLP C;AutoRouteEuro Win32 SNGL SA OLP C;AutoRouteEuro Win32 SNGL SA OLP C;AutoRouteEuro Win32 SNGL SA OLP C;;;;64;;
1;3;1597;1;3047,94;2478;BztlkSvrBrnch 2010 SNGL OLP C 1Proc;HJA-00548;;BztlkSvrBrnch 2010 SNGL OLP C 1Proc;BztlkSvrBrnch 2010 SNGL OLP C 1Proc;BztlkSvrBrnch 2010 SNGL OLP C 1Proc;BztlkSvrBrnch 2010 SNGL OLP C 1Proc;;;;76;;
1;3;1597;1;4571,91;3717;BztlkSvrBrnch SNGL LicSAPk OLP C 1Proc;HJA-00145;;BztlkSvrBrnch SNGL LicSAPk OLP C 1Proc;BztlkSvrBrnch SNGL LicSAPk OLP C 1Proc;BztlkSvrBrnch SNGL LicSAPk OLP C 1Proc;BztlkSvrBrnch SNGL LicSAPk OLP C 1Proc;;;;76;;
1;3;1597;1;1523,97;1239;BztlkSvrBrnch SNGL SA OLP C 1Proc;HJA-00135;;BztlkSvrBrnch SNGL SA OLP C 1Proc;BztlkSvrBrnch SNGL SA OLP C 1Proc;BztlkSvrBrnch SNGL SA OLP C 1Proc;BztlkSvrBrnch SNGL SA OLP C 1Proc;;;;76;;
1;3;1597;1;53311,89;43343;BztlkSvrEnt 2010 SNGL OLP C 1Proc;F52-01898;;BztlkSvrEnt 2010 SNGL OLP C 1Proc;BztlkSvrEnt 2010 SNGL OLP C 1Proc;BztlkSvrEnt 2010 SNGL OLP C 1Proc;BztlkSvrEnt 2010 SNGL OLP C 1Proc;;;;76;;
1;3;1597;1;79967,22;65014;BztlkSvrEnt SNGL LicSAPk OLP C 1Proc;F52-00370;;BztlkSvrEnt SNGL LicSAPk OLP C 1Proc;BztlkSvrEnt SNGL LicSAPk OLP C 1Proc;BztlkSvrEnt SNGL LicSAPk OLP C 1Proc;BztlkSvrEnt SNGL LicSAPk OLP C 1Proc;;;;76;;
1;3;1597;1;26656,56;21672;BztlkSvrEnt SNGL SA OLP C 1Proc;F52-00412;;BztlkSvrEnt SNGL SA OLP C 1Proc;BztlkSvrEnt SNGL SA OLP C 1Proc;BztlkSvrEnt SNGL SA OLP C 1Proc;BztlkSvrEnt SNGL SA OLP C 1Proc;;;;76;;
1;3;1597;1;6065,13;4931;BzTlkSvrEntRFID 2010 SNGL OLP C 1Proc;DHD-00230;;BzTlkSvrEntRFID 2010 SNGL OLP C 1Proc;BzTlkSvrEntRFID 2010 SNGL OLP C 1Proc;BzTlkSvrEntRFID 2010 SNGL OLP C 1Proc;BzTlkSvrEntRFID 2010 SNGL OLP C 1Proc;;;;76;;
1;3;1597;1;9097,08;7396;BzTlkSvrEntRFID SNGL LicSAPk OLP C 1Proc;DHD-00150;;BzTlkSvrEntRFID SNGL LicSAPk OLP C 1Proc;BzTlkSvrEntRFID SNGL LicSAPk OLP C 1Proc;BzTlkSvrEntRFID SNGL LicSAPk OLP C 1Proc;BzTlkSvrEntRFID SNGL LicSAPk OLP C 1Proc;;;;76;;
