Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;6;1;209,1;170;SLE100A-XXH-R;540115-001-00;;SLE100A-XXH-R;SLE100A-XXH-R;SLE100A-XXH-R;SLE100A-XXH-R;;;;122;;
1;3;6;1;220,8711;179,57;SLE100A-HXH-R;540115-002-00;;SLE100A-HXH-R;SLE100A-HXH-R;SLE100A-HXH-R;SLE100A-HXH-R;;;;122;;
1;3;6;1;209,1;170;SLE100K-XXH-R;540115-003-00;;SLE100K-XXH-R;SLE100K-XXH-R;SLE100K-XXH-R;SLE100K-XXH-R;;;;122;;
1;3;6;1;220,8711;179,57;SLE100K-HXH-R;540115-004-00;;SLE100K-HXH-R;SLE100K-HXH-R;SLE100K-HXH-R;SLE100K-HXH-R;;;;122;;
1;3;6;1;15,9408;12,96;SLE-BODE-R;530407-001-00;;SLE-BODE-R;SLE-BODE-R;SLE-BODE-R;SLE-BODE-R;;;;122;;
1;3;6;1;58,6587;47,69;SLE-ADU-499.25/S-R;530406-001-00;;SLE-ADU-499.25/S-R;SLE-ADU-499.25/S-R;SLE-ADU-499.25/S-R;SLE-ADU-499.25/S-R;;;;122;;
1;3;6;1;58,6587;47,69;SLE-ADU-439.25/S-R;530406-002-00;;SLE-ADU-439.25/S-R;SLE-ADU-439.25/S-R;SLE-ADU-439.25/S-R;SLE-ADU-439.25/S-R;;;;122;;
1;3;6;1;13,3332;10,84;SLE-TDU-R;530408-001-00;;SLE-TDU-R;SLE-TDU-R;SLE-TDU-R;SLE-TDU-R;;;;122;;
1;3;6;1;401,3244;326,28;BLE100A-HXXH-F-R;811000-001-00;;BLE100A-HXXH-F-R;BLE100A-HXXH-F-R;BLE100A-HXXH-F-R;BLE100A-HXXH-F-R;;;;122;;
