Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;9;5;1;4600,5198;3740,26;RFMS Server Software (includes SiteScanner and 50 AP licenses);SW-RFMS-SRV-050-WW;;RFMS Server Software (includes SiteScanner and 50 AP licenses);RFMS Server Software (includes SiteScanner and 50 AP licenses);RFMS Server Software (includes SiteScanner and 50 AP licenses);RFMS Server Software (includes SiteScanner and 50 AP licenses);;;;64;;
1;9;5;1;2740,932;2228,4;Komputer przenosny MC9090 Gun, Std Range Scan Engine, Color, 64/128MB, 28K, WM5.0, CR A/V/BT;MC9090-GF0HJAFC6WR;;Gun, 802.11 a/b/g, 1D Scanner, Color, 64/128MB, 28 Key, WM5.0, BT, Condensation Resistant;Komputer przenosny MC9090 Gun, Std Range Scan Engine, Color, 64/128MB, 28K, WM5.0, CR A/V/BT;Gun, 802.11 a/b/g, 1D Scanner, Color, 64/128MB, 28 Key, WM5.0, BT, Condensation Resistant;Komputer przenosny MC9090 Gun, Std Range Scan Engine, Color, 64/128MB, 28K, WM5.0, CR A/V/BT;;;;325;;
1;9;5;1;422,751;343,7;4 slotowa ladowarka (US). Zawiera: ladowarke, zasilacz, kabel i kabel US;CRD9000-410CES;;4 Slot Charge Only Cradle Kit (US). Incl: 4 Slot Charge Cradle, Power Supply, DC Cord and US AC Cord;4 slotowa ladowarka (US). Zawiera: ladowarke, zasilacz, kabel i kabel US;4 Slot Charge Only Cradle Kit (US). Incl: 4 Slot Charge Cradle, Power Supply, DC Cord and US AC Cord;4 slotowa ladowarka (US). Zawiera: ladowarke, zasilacz, kabel i kabel US;;;;325;;
1;9;5;1;2574,267;2092,9;Komputer przenosny MC9090 Gun, Long Range Scan Engine, Color, 64/64MB, 28K, CE5.0, BT;MC9090-GJ0HBAGA2WR;;Gun, 802.11 a/b/g, Lorax, Color, 64/64MB, 28 Key, CE 5.0, Bluetooth;Komputer przenosny MC9090 Gun, Long Range Scan Engine, Color, 64/64MB, 28K, CE5.0, BT;Gun, 802.11 a/b/g, Lorax, Color, 64/64MB, 28 Key, CE 5.0, Bluetooth;Komputer przenosny MC9090 Gun, Long Range Scan Engine, Color, 64/64MB, 28K, CE5.0, BT;;;;325;;
1;9;5;1;52,0782;42,34;Adapter do ladow. baterii od czytnikow P360/P370 w UBC2000;21-32665-15R;;ADPTR:UBC2000,VANGUARD;Adapter do ladow. baterii od czytnikow P360/P370 w UBC2000;ADPTR:UBC2000,VANGUARD;Adapter do ladow. baterii od czytnikow P360/P370 w UBC2000;;;;325;;
1;9;5;1;142,7538;116,06;Adapter licencyjny MCL, klucz sprzetowy;50-12000-082R;;MCL:LICENSING ADAPTER,HARDWARE KEY*;Adapter licencyjny MCL, klucz sprzetowy;MCL:LICENSING ADAPTER,HARDWARE KEY*;Adapter licencyjny MCL, klucz sprzetowy;;;;325;;
1;9;5;1;76,4445;62,15;Adapter synapsowy do czytnikow Symbol,  IBM 347X;STI80-1300R;;Synapse Cable: IBM 347X wedge;Adapter synapsowy do czytnikow Symbol,  IBM 347X;Synapse Cable: IBM 347X wedge;Adapter synapsowy do czytnikow Symbol,  IBM 347X;;;;325;;
1;9;5;1;67,2318;54,66;Adapter synapsowy PS2 do czytnikow Symbol;STI80-0200R;;Synapse Cable: Keyboard Wedge, IBM PC, PS/2;Adapter synapsowy PS2 do czytnikow Symbol;Synapse Cable: Keyboard Wedge, IBM PC, PS/2;Adapter synapsowy PS2 do czytnikow Symbol;;;;325;;
1;9;5;1;71,8443;58,41;Adapter synapsowy USB do czytnikow Symbol, brak zasilacza;STI85-0200R;;"Synapse Cable: USB series A; default to HID keyboard. No power supply.";Adapter synapsowy USB do czytnikow Symbol, brak zasilacza;"Synapse Cable: USB series A; default to HID keyboard. No power supply.";Adapter synapsowy USB do czytnikow Symbol, brak zasilacza;;;;325;;
