Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;30;1;1,4022;1,14;Parts Floppy Drive - NEC;134-506791;;Parts Floppy Drive - NEC;Parts Floppy Drive - NEC;Parts Floppy Drive - NEC;Parts Floppy Drive - NEC;;;;47;;
1;3;30;1;13,8867;11,29;CARTON, BOX FOR LCD1990SX;1C206991;;CARTON, BOX FOR LCD1990SX;CARTON, BOX FOR LCD1990SX;CARTON, BOX FOR LCD1990SX;CARTON, BOX FOR LCD1990SX;;;;47;;
1;3;30;1;1,4022;1,14;CRT NEC AccuSync 120 BASE Cover;3042TKB002;;CRT NEC AccuSync 120 BASE Cover;CRT NEC AccuSync 120 BASE Cover;CRT NEC AccuSync 120 BASE Cover;CRT NEC AccuSync 120 BASE Cover;;;;47;;
1;3;30;1;181,3143;147,41;SPHERICALL ACCESS LIC - 1;410003;;SPHERICALL ACCESS LIC - 1;SPHERICALL ACCESS LIC - 1;SPHERICALL ACCESS LIC - 1;SPHERICALL ACCESS LIC - 1;;;;47;;
1;3;30;1;31,3404;25,48;MNT SPHERE SAL SW PREMIUM APS;410003081;;MNT SPHERE SAL SW PREMIUM APS;MNT SPHERE SAL SW PREMIUM APS;MNT SPHERE SAL SW PREMIUM APS;MNT SPHERE SAL SW PREMIUM APS;;;;47;;
1;3;30;1;120,0726;97,62;SPHERICALL TRUNK LIC - 1;410004;;SPHERICALL TRUNK LIC - 1;SPHERICALL TRUNK LIC - 1;SPHERICALL TRUNK LIC - 1;SPHERICALL TRUNK LIC - 1;;;;47;;
1;3;30;1;22,9887;18,69;MNT SPHERE TAL SW PREMIUM APS;410004081;;MNT SPHERE TAL SW PREMIUM APS;MNT SPHERE TAL SW PREMIUM APS;MNT SPHERE TAL SW PREMIUM APS;MNT SPHERE TAL SW PREMIUM APS;;;;47;;
1;3;30;1;240,9447;195,89;SPHERICALL RECORD LIC - 1;410005;;SPHERICALL RECORD LIC - 1;SPHERICALL RECORD LIC - 1;SPHERICALL RECORD LIC - 1;SPHERICALL RECORD LIC - 1;;;;47;;
1;3;30;1;47,0106;38,22;MNT SPHERE SRL SW PREMIUM APS;410005081;;MNT SPHERE SRL SW PREMIUM APS;MNT SPHERE SRL SW PREMIUM APS;MNT SPHERE SRL SW PREMIUM APS;MNT SPHERE SRL SW PREMIUM APS;;;;47;;
