Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;1706;1;68423,4978;55628,86;CONSULTING CUSTOM DEV;017-000215-COMM;;CONSULTING CUSTOM DEV;CONSULTING CUSTOM DEV;CONSULTING CUSTOM DEV;CONSULTING CUSTOM DEV;;;;76;;
1;3;1706;1;68985,3495;56085,65;CONSULTING CUSTOM DEV;017-000215-GOV;;CONSULTING CUSTOM DEV;CONSULTING CUSTOM DEV;CONSULTING CUSTOM DEV;CONSULTING CUSTOM DEV;;;;76;;
1;3;1706;1;432,1482;351,34;IT CONSULTING P/ HR PRINCIPAL CONSULTANT;017-000217-COMM;;IT CONSULTING P/ HR PRINCIPAL CONSULTANT;IT CONSULTING P/ HR PRINCIPAL CONSULTANT;IT CONSULTING P/ HR PRINCIPAL CONSULTANT;IT CONSULTING P/ HR PRINCIPAL CONSULTANT;;;;76;;
1;3;1706;1;435,7029;354,23;IT CONSULTING P/ HR PRINCIPAL CONSULTANT;017-000217-GOV;;IT CONSULTING P/ HR PRINCIPAL CONSULTANT;IT CONSULTING P/ HR PRINCIPAL CONSULTANT;IT CONSULTING P/ HR PRINCIPAL CONSULTANT;IT CONSULTING P/ HR PRINCIPAL CONSULTANT;;;;76;;
1;3;1706;1;360,1194;292,78;IT CONSULTING P/ HR SENIOR CONSULTANT;017-000218-COMM;;IT CONSULTING P/ HR SENIOR CONSULTANT;IT CONSULTING P/ HR SENIOR CONSULTANT;IT CONSULTING P/ HR SENIOR CONSULTANT;IT CONSULTING P/ HR SENIOR CONSULTANT;;;;76;;
1;3;1706;1;363,0837;295,19;IT CONSULTING P/ HR SENIOR CONSULTANT;017-000218-GOV;;IT CONSULTING P/ HR SENIOR CONSULTANT;IT CONSULTING P/ HR SENIOR CONSULTANT;IT CONSULTING P/ HR SENIOR CONSULTANT;IT CONSULTING P/ HR SENIOR CONSULTANT;;;;76;;
1;3;1706;1;2508,4128;2039,36;ONSITE SUP SVC ACCOUNT MGR EMEA;051-000168-COMM;;ONSITE SUP SVC ACCOUNT MGR EMEA;ONSITE SUP SVC ACCOUNT MGR EMEA;ONSITE SUP SVC ACCOUNT MGR EMEA;ONSITE SUP SVC ACCOUNT MGR EMEA;;;;76;;
1;3;1706;1;2529,003;2056,1;ONSITE SUP SVC ACCOUNT MGR +TRAVEL EXPENSES EMEA;051-000168-GOV;;ONSITE SUP SVC ACCOUNT MGR +TRAVEL EXPENSES EMEA;ONSITE SUP SVC ACCOUNT MGR +TRAVEL EXPENSES EMEA;ONSITE SUP SVC ACCOUNT MGR +TRAVEL EXPENSES EMEA;ONSITE SUP SVC ACCOUNT MGR +TRAVEL EXPENSES EMEA;;;;76;;
1;3;1706;1;174479,928;141853,6;PRIMARY SUP ENGINEER EMEA ZONE1;051-000170-COMM;;PRIMARY SUP ENGINEER EMEA ZONE1;PRIMARY SUP ENGINEER EMEA ZONE1;PRIMARY SUP ENGINEER EMEA ZONE1;PRIMARY SUP ENGINEER EMEA ZONE1;;;;76;;
