Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;1743;1;14,6862;11,94;PWR CORD NORTH AMERICA AND ASIA 2.5M 5-15P PLUG;333A-25-15-NEMA;;PWR CORD NORTH AMERICA AND ASIA 2.5M 5-15P PLUG;PWR CORD NORTH AMERICA AND ASIA 2.5M 5-15P PLUG;PWR CORD NORTH AMERICA AND ASIA 2.5M 5-15P PLUG;PWR CORD NORTH AMERICA AND ASIA 2.5M 5-15P PLUG;;;;76;;
1;3;1743;1;25,3503;20,61;POWER CORD JUMPR STRAIGHT PLUG CONNECTOR 2 METERS;333V-20-15-C14;;POWER CORD JUMPR STRAIGHT PLUG CONNECTOR 2 METERS;POWER CORD JUMPR STRAIGHT PLUG CONNECTOR 2 METERS;POWER CORD JUMPR STRAIGHT PLUG CONNECTOR 2 METERS;POWER CORD JUMPR STRAIGHT PLUG CONNECTOR 2 METERS;;;;76;;
1;3;1743;1;25,3503;20,61;POWER CORD JUMPR STRAIGHT PLUG CONNECTOR 3 METERS;333V-30-15-C14;;POWER CORD JUMPR STRAIGHT PLUG CONNECTOR 3 METERS;POWER CORD JUMPR STRAIGHT PLUG CONNECTOR 3 METERS;POWER CORD JUMPR STRAIGHT PLUG CONNECTOR 3 METERS;POWER CORD JUMPR STRAIGHT PLUG CONNECTOR 3 METERS;;;;76;;
1;3;1743;1;56476,2372;45915,64;ORACLE DB APPL;7100495;;ORACLE DB APPL;ORACLE DB APPL;ORACLE DB APPL;ORACLE DB APPL;;;;76;;
1;3;1743;1;1497,1683;1217,21;FINANCIALS APP USER LIC;A80561;;FINANCIALS APP USER LIC;FINANCIALS APP USER LIC;FINANCIALS APP USER LIC;FINANCIALS APP USER LIC;;;;76;;
1;3;1743;1;1497,1683;1217,21;PURCHASING APP USER LIC;A81402;;PURCHASING APP USER LIC;PURCHASING APP USER LIC;PURCHASING APP USER LIC;PURCHASING APP USER LIC;;;;76;;
1;3;1743;1;103069,1292;83796,04;MAINFRAME INTEGRATION GTW COMPUTER PERP;A84925;;MAINFRAME INTEGRATION GTW COMPUTER PERP;MAINFRAME INTEGRATION GTW COMPUTER PERP;MAINFRAME INTEGRATION GTW COMPUTER PERP;MAINFRAME INTEGRATION GTW COMPUTER PERP;;;;76;;
1;3;1743;1;5,6457;4,59;ORACLE INTERNET EXPENSES EXPENSE REPORTS PERP;A85655;;ORACLE INTERNET EXPENSES EXPENSE REPORTS PERP;ORACLE INTERNET EXPENSES EXPENSE REPORTS PERP;ORACLE INTERNET EXPENSES EXPENSE REPORTS PERP;ORACLE INTERNET EXPENSES EXPENSE REPORTS PERP;;;;76;;
1;3;1743;1;4325,1351;3516,37;ORACLE PROJECT COSTING APP USER PERP;A85888;;ORACLE PROJECT COSTING APP USER PERP;ORACLE PROJECT COSTING APP USER PERP;ORACLE PROJECT COSTING APP USER PERP;ORACLE PROJECT COSTING APP USER PERP;;;;76;;
1;3;1743;1;16472,2461;13392,07;ORACLE DB SE PROC PERP LIC (STD);A90610;;ORACLE DB SE PROC PERP LIC (STD);ORACLE DB SE PROC PERP LIC (STD);ORACLE DB SE PROC PERP LIC (STD);ORACLE DB SE PROC PERP LIC (STD);;;;76;;
1;3;1743;1;44710,3524;36349,88;ORACLE DB ENT PROC PERP;A90611;;ORACLE DB ENT PROC PERP;ORACLE DB ENT PROC PERP;ORACLE DB ENT PROC PERP;ORACLE DB ENT PROC PERP;;;;76;;
1;3;1743;1;21649,2177;17600,99;REAL APP CLST PROC PERP;A90619;;REAL APP CLST PROC PERP;REAL APP CLST PROC PERP;REAL APP CLST PROC PERP;REAL APP CLST PROC PERP;;;;76;;
1;3;1743;1;10824,615;8800,5;PARTITIONING PROC PERP;A90620;;PARTITIONING PROC PERP;PARTITIONING PROC PERP;PARTITIONING PROC PERP;PARTITIONING PROC PERP;;;;76;;
1;3;1743;1;16472,2461;13392,07;SPATIAL PROC PERP;A90621;;SPATIAL PROC PERP;SPATIAL PROC PERP;SPATIAL PROC PERP;SPATIAL PROC PERP;;;;76;;
1;3;1743;1;10824,615;8800,5;ADVANCED SEC PROC PERP;A90622;;ADVANCED SEC PROC PERP;ADVANCED SEC PROC PERP;ADVANCED SEC PROC PERP;ADVANCED SEC PROC PERP;;;;76;;
1;3;1743;1;10824,615;8800,5;LABEL SEC PROC PERP;A90623;;LABEL SEC PROC PERP;LABEL SEC PROC PERP;LABEL SEC PROC PERP;LABEL SEC PROC PERP;;;;76;;
1;3;1743;1;3294,4566;2678,42;CHANGE MGMT PK PROC PERP;A90629;;CHANGE MGMT PK PROC PERP;CHANGE MGMT PK PROC PERP;CHANGE MGMT PK PROC PERP;CHANGE MGMT PK PROC PERP;;;;76;;
1;3;1743;1;10824,615;8800,5;INT APP SVR STD ED PROC PERP LIC (STD);A90631;;INT APP SVR STD ED PROC PERP LIC (STD);INT APP SVR STD ED PROC PERP LIC (STD);INT APP SVR STD ED PROC PERP LIC (STD);INT APP SVR STD ED PROC PERP LIC (STD);;;;76;;
1;3;1743;1;32944,4676;26784,12;INET APP SVR ENT PROC PERP;A90632;;INET APP SVR ENT PROC PERP;INET APP SVR ENT PROC PERP;INET APP SVR ENT PROC PERP;INET APP SVR ENT PROC PERP;;;;76;;
1;3;1743;1;44710,3524;36349,88;EXPRESS SVR PROC PERP;A90640;;EXPRESS SVR PROC PERP;EXPRESS SVR PROC PERP;EXPRESS SVR PROC PERP;EXPRESS SVR PROC PERP;;;;76;;
1;3;1743;1;44710,3524;36349,88;RDB ENT PROC PERP;A90641;;RDB ENT PROC PERP;RDB ENT PROC PERP;RDB ENT PROC PERP;RDB ENT PROC PERP;;;;76;;
1;3;1743;1;5459,3673;4438,51;TRACE PROC PERP;A90642;;TRACE PROC PERP;TRACE PROC PERP;TRACE PROC PERP;TRACE PROC PERP;;;;76;;
1;3;1743;1;5459,3673;4438,51;CDD/R RT PROC PERP;A90648;;CDD/R RT PROC PERP;CDD/R RT PROC PERP;CDD/R RT PROC PERP;CDD/R RT PROC PERP;;;;76;;
