Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;9;31;19;366,54;298;8826 - akcesoria PSION;8826;;Resilient Mount Helical Coil;Resilient Mount Helical Coil;Accessories;Accessories;;;;328;;
1;9;31;19;184,50;150;14164 - akcesoria PSION;14164;;Antenna 450-470MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Antenna 450-470MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Accessories;Accessories;;;;328;;
1;9;31;19;184,50;150;14165 - akcesoria PSION;14165;;Antenna 406-420MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Antenna 406-420MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Accessories;Accessories;;;;328;;
1;9;31;19;184,50;150;17037 - akcesoria PSION;17037;;Antenna 470-490MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Antenna 470-490MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Accessories;Accessories;;;;328;;
1;9;31;19;127,92;104;17127 - akcesoria PSION;17127;;Antenna 470-490MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Antenna 470-490MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Accessories;Accessories;;;;328;;
1;9;31;19;127,92;104;17128 - akcesoria PSION;17128;;Antenna 406-420MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Antenna 406-420MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Accessories;Accessories;;;;328;;
1;9;31;19;127,92;104;17129 - akcesoria PSION;17129;;Antenna 450-470MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Antenna 450-470MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Accessories;Accessories;;;;328;;
1;9;31;19;184,50;150;17513 - akcesoria PSION;17513;;Antenna 420-440MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Antenna 420-440MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Accessories;Accessories;;;;328;;
1;9;31;19;184,50;150;18297 - akcesoria PSION;18297;;Antenna 450-470MHz, indoor, 5dBi, omni, UHF female, 5/8-1/4 wave whip;Antenna 450-470MHz, indoor, 5dBi, omni, UHF female, 5/8-1/4 wave whip;Accessories;Accessories;;;;328;;
1;9;31;19;184,50;150;18299 - akcesoria PSION;18299;;Antenna 440-460MHz, indoor, 5dBi, omni, UHF female, 5/8-1/4 wave whip;Antenna 440-460MHz, indoor, 5dBi, omni, UHF female, 5/8-1/4 wave whip;Accessories;Accessories;;;;328;;
1;9;31;19;184,50;150;18312 - akcesoria PSION;18312;;Antenna 440-460MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Antenna 440-460MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Accessories;Accessories;;;;328;;
1;9;31;19;184,50;150;19644 - akcesoria PSION;19644;;Antenna 490-512MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Antenna 490-512MHz, indoor, 5.5dBi, omni, UHF female, 5/8-1/2 wave whip, cut to frequency;Accessories;Accessories;;;;328;;
1;9;31;19;596,55;485;21266 - akcesoria PSION;21266;;Antenna, 802.11b/g, outdoor, 12dBi omni fiberglass, N female;Antenna, 802.11b/g, outdoor, 12dBi omni fiberglass, N female;Accessories;Accessories;;;;328;;
1;9;31;19;360,39;293;21268 - akcesoria PSION;21268;;Antenna, 802.11b/g, indoor/outdoor, FCC only, 14dBi yagi, N female ;Antenna, 802.11b/g, indoor/outdoor, FCC only, 14dBi yagi, N female ;Accessories;Accessories;;;;328;;
1;9;31;19;127,92;104;21648 - akcesoria PSION;21648;;Antenna 420-440MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Antenna 420-440MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Accessories;Accessories;;;;328;;
1;9;31;19;127,92;104;21649 - akcesoria PSION;21649;;Antenna 440-460MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Antenna 440-460MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Accessories;Accessories;;;;328;;
1;9;31;19;127,92;104;21650 - akcesoria PSION;21650;;Antenna 490-512MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Antenna 490-512MHz, indoor, 2dBi, omni, UHF female, 1/4 wave whip;Accessories;Accessories;;;;328;;
1;9;31;19;184,50;150;21651 - akcesoria PSION;21651;;Antenna 406-420MHz, indoor, 5dBi, omni, UHF female, 5/8-1/4 wave whip;Antenna 406-420MHz, indoor, 5dBi, omni, UHF female, 5/8-1/4 wave whip;Accessories;Accessories;;;;328;;
1;9;31;19;184,50;150;21652 - akcesoria PSION;21652;;Antenna 490-512MHz, indoor, 5dBi, omni, UHF female, 5/8-1/4 wave whip;Antenna 490-512MHz, indoor, 5dBi, omni, UHF female, 5/8-1/4 wave whip;Accessories;Accessories;;;;328;;
1;9;31;19;184,50;150;30429 - akcesoria PSION;30429;;Antenna 420-440MHz, indoor, 5dBi, omni, UHF female, 5/8-1/4 wave whip;Antenna 420-440MHz, indoor, 5dBi, omni, UHF female, 5/8-1/4 wave whip;Accessories;Accessories;;;;328;;
1;9;31;19;752,76;612;33001 - akcesoria PSION;33001;;PTX-MP 2000 USB & Serial ports;PTX-MP 2000 USB & Serial ports;Accessories;Accessories;;;;328;;
1;9;31;19;942,18;766;33002 - akcesoria PSION;33002;;PTX-MP 2000 Bluetooth   ;PTX-MP 2000 Bluetooth   ;Accessories;Accessories;;;;328;;
1;9;31;19;867,15;705;33004 - akcesoria PSION;33004;;PTX-MP 2000 Cabled with Magnetic card reader;PTX-MP 2000 Cabled with Magnetic card reader;Accessories;Accessories;;;;328;;
1;9;31;19;1056,57;859;33005 - akcesoria PSION;33005;;PTX-MP 2000 Bluetooth with Magnetic card reader;PTX-MP 2000 Bluetooth with Magnetic card reader;Accessories;Accessories;;;;328;;
1;9;31;19;142,68;116;33009 - akcesoria PSION;33009;;North America MP2000 Developers Kit with USB;North America MP2000 Developers Kit with USB;Accessories;Accessories;;;;328;;
1;9;31;19;142,68;116;33010 - akcesoria PSION;33010;;North America MP2000 Developers Kit with RS232;North America MP2000 Developers Kit with RS232;Accessories;Accessories;;;;328;;
1;9;31;19;282,90;230;33011 - akcesoria PSION;33011;;Barcode Scanning Wand, Universal Port;Barcode Scanning Wand, Universal Port;Accessories;Accessories;;;;328;;
1;9;31;19;56,58;46;33012 - akcesoria PSION;33012;;AC Adapter 100 - 240VAC North America;AC Adapter 100 - 240VAC North America;Accessories;Accessories;;;;328;;
1;9;31;19;56,58;46;33013 - akcesoria PSION;33013;;AC Adapter South Africa/India;AC Adapter South Africa/India;Accessories;Accessories;;;;328;;
1;9;31;19;56,58;46;33014 - akcesoria PSION;33014;;AC Adapter Korea;AC Adapter Korea;Accessories;Accessories;;;;328;;
1;9;31;19;56,58;46;33015 - akcesoria PSION;33015;;AC Adapter Continental EU;AC Adapter Continental EU;Accessories;Accessories;;;;328;;
