Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;1912;1;123;1299;Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Up to 1 guest);RH0155783;;Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Up to 1 guest);;;;77,76;;
1;3;1912;1;;1949;Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Up to 4 guests);RH0134973;;Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Up to 4 guests);;;;77,76;;
1;3;1912;1;;3249;Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Unlimited guests);RH0197329;;Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Premium (1-2 sockets) (Unlimited guests);;;;77,76;;
1;3;1912;1;;2598;Red Hat Enterprise Linux Server, Premium (4 sockets) (Up to 1 guest);RH0165545;;Red Hat Enterprise Linux Server, Premium (4 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Premium (4 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Premium (4 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Premium (4 sockets) (Up to 1 guest);;;;77,76;;
1;3;1912;1;;3898;Red Hat Enterprise Linux Server, Premium (4 sockets) (Up to 4 guests);RH0153936;;Red Hat Enterprise Linux Server, Premium (4 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Premium (4 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Premium (4 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Premium (4 sockets) (Up to 4 guests);;;;77,76;;
1;3;1912;1;;6498;Red Hat Enterprise Linux Server, Premium (4 sockets) (Unlimited guests);RH0133325;;Red Hat Enterprise Linux Server, Premium (4 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Premium (4 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Premium (4 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Premium (4 sockets) (Unlimited guests);;;;77,76;;
1;3;1912;1;;5196;Red Hat Enterprise Linux Server, Premium (8 sockets) (Up to 1 guest);RH0190786;;Red Hat Enterprise Linux Server, Premium (8 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Premium (8 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Premium (8 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Premium (8 sockets) (Up to 1 guest);;;;77,76;;
1;3;1912;1;;7796;Red Hat Enterprise Linux Server, Premium (8 sockets) (Up to 4 guests);RH0103708;;Red Hat Enterprise Linux Server, Premium (8 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Premium (8 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Premium (8 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Premium (8 sockets) (Up to 4 guests);;;;77,76;;
1;3;1912;1;;12996;Red Hat Enterprise Linux Server, Premium (8 sockets) (Unlimited guests);RH0105260;;Red Hat Enterprise Linux Server, Premium (8 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Premium (8 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Premium (8 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Premium (8 sockets) (Unlimited guests);;;;77,76;;
1;3;1912;1;;1299;Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 8 vCPUs);RH0128910;;Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 8 vCPUs);Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 8 vCPUs);Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 8 vCPUs);Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 8 vCPUs);;;;77,76;;
1;3;1912;1;;2598;Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 16 vCPUs);RH0198732;;Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 16 vCPUs);Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 16 vCPUs);Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 16 vCPUs);Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 16 vCPUs);;;;77,76;;
1;3;1912;1;;5196;Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 32 vCPUs);RH0119942;;Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 32 vCPUs);Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 32 vCPUs);Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 32 vCPUs);Red Hat Enterprise Linux Server, Premium (1 Virtual Machine up to 32 vCPUs);;;;77,76;;
1;3;1912;1;;799;Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Up to 1 guest);RH0101594;;Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Up to 1 guest);Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Up to 1 guest);;;;77,76;;
1;3;1912;1;;1199;Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Up to 4 guests);RH0149709;;Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Up to 4 guests);Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Up to 4 guests);;;;77,76;;
1;3;1912;1;;1999;Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Unlimited guests);RH0192098;;Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Unlimited guests);Red Hat Enterprise Linux Server, Standard (1-2 sockets) (Unlimited guests);;;;77,76;;
