Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;2094;1;127764,8478;103873,86;REW VIRTUAL STOR 5.1 UNX SVR TIER K STD LIC C;21041248;;REW VIRTUAL STOR 5.1 UNX SVR TIER K STD LIC C;REW VIRTUAL STOR 5.1 UNX SVR TIER K STD LIC C;REW VIRTUAL STOR 5.1 UNX SVR TIER K STD LIC C;REW VIRTUAL STOR 5.1 UNX SVR TIER K STD LIC C;;;;79;;
1;3;2094;1;6989,721;5682,7;REW VIRTUAL STOR 5.1 UNX SVR TIER E BAS B;21041251;;REW VIRTUAL STOR 5.1 UNX SVR TIER E BAS B;REW VIRTUAL STOR 5.1 UNX SVR TIER E BAS B;REW VIRTUAL STOR 5.1 UNX SVR TIER E BAS B;REW VIRTUAL STOR 5.1 UNX SVR TIER E BAS B;;;;79;;
1;3;2094;1;6989,721;5682,7;GOV VIRTUAL STOR 5.1 UNX SVR TIER E BAS S;21041252;;GOV VIRTUAL STOR 5.1 UNX SVR TIER E BAS S;GOV VIRTUAL STOR 5.1 UNX SVR TIER E BAS S;GOV VIRTUAL STOR 5.1 UNX SVR TIER E BAS S;GOV VIRTUAL STOR 5.1 UNX SVR TIER E BAS S;;;;79;;
1;3;2094;1;6989,721;5682,7;EXP VIRTUAL STOR 5.1 UNX SVR TIER E BAS S;21041253;;EXP VIRTUAL STOR 5.1 UNX SVR TIER E BAS S;EXP VIRTUAL STOR 5.1 UNX SVR TIER E BAS S;EXP VIRTUAL STOR 5.1 UNX SVR TIER E BAS S;EXP VIRTUAL STOR 5.1 UNX SVR TIER E BAS S;;;;79;;
1;3;2094;1;8261,4549;6716,63;REW VIRTUAL STOR 5.1 UNX SVR TIER E ESS E;21041254;;REW VIRTUAL STOR 5.1 UNX SVR TIER E ESS E;REW VIRTUAL STOR 5.1 UNX SVR TIER E ESS E;REW VIRTUAL STOR 5.1 UNX SVR TIER E ESS E;REW VIRTUAL STOR 5.1 UNX SVR TIER E ESS E;;;;79;;
1;3;2094;1;8931,3129;7261,23;EXP VIRTUAL STOR 5.1 UNX SVR TIER E ESS S;21041255;;EXP VIRTUAL STOR 5.1 UNX SVR TIER E ESS S;EXP VIRTUAL STOR 5.1 UNX SVR TIER E ESS S;EXP VIRTUAL STOR 5.1 UNX SVR TIER E ESS S;EXP VIRTUAL STOR 5.1 UNX SVR TIER E ESS S;;;;79;;
1;3;2094;1;8095,4295;6581,65;GOV TSPP VIRTUALSTORE 5.1 UNX PER SVR TF BAS 12M S;21041257;;GOV TSPP VIRTUALSTORE 5.1 UNX PER SVR TF BAS 12M S;GOV TSPP VIRTUALSTORE 5.1 UNX PER SVR TF BAS 12M S;GOV TSPP VIRTUALSTORE 5.1 UNX PER SVR TF BAS 12M S;GOV TSPP VIRTUALSTORE 5.1 UNX PER SVR TF BAS 12M S;;;;79;;
1;3;2094;1;44974,6671;36564,77;REW VIRTUAL STOR 5.1 UNX SVR TIER F STD LIC B;21041258;;REW VIRTUAL STOR 5.1 UNX SVR TIER F STD LIC B;REW VIRTUAL STOR 5.1 UNX SVR TIER F STD LIC B;REW VIRTUAL STOR 5.1 UNX SVR TIER F STD LIC B;REW VIRTUAL STOR 5.1 UNX SVR TIER F STD LIC B;;;;79;;
1;3;2094;1;44974,6671;36564,77;EXP VIRTUAL STOR 5.1 UNX SVR TIER F STD LIC S;21041259;;EXP VIRTUAL STOR 5.1 UNX SVR TIER F STD LIC S;EXP VIRTUAL STOR 5.1 UNX SVR TIER F STD LIC S;EXP VIRTUAL STOR 5.1 UNX SVR TIER F STD LIC S;EXP VIRTUAL STOR 5.1 UNX SVR TIER F STD LIC S;;;;79;;
