Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;2362;1;836,5107;680,09;DBLTKB/U AGT UNL W/ MNT RNWL;0-DTBUAGENT-UNL-R;;DBLTKB/U AGT UNL W/ MNT RNWL;DBLTKB/U AGT UNL W/ MNT RNWL;DBLTKB/U AGT UNL W/ MNT RNWL;DBLTKB/U AGT UNL W/ MNT RNWL;;;;70;;
1;3;2362;1;3907,3656;3176,72;UPG GEOCLUSTER+ FOR WIN ADV ED FROM GCLSTR ADVED;C2DT4AS-PRE;;UPG GEOCLUSTER+ FOR WIN ADV ED FROM GCLSTR ADVED;UPG GEOCLUSTER+ FOR WIN ADV ED FROM GCLSTR ADVED;UPG GEOCLUSTER+ FOR WIN ADV ED FROM GCLSTR ADVED;UPG GEOCLUSTER+ FOR WIN ADV ED FROM GCLSTR ADVED;;;;70;;
1;3;2362;1;4831,6368;3928,16;GEOCLUSTER FOR WIN ADV ED INCL 1ST YR MNT;C4AS-PRE-B;;GEOCLUSTER FOR WIN ADV ED INCL 1ST YR MNT;GEOCLUSTER FOR WIN ADV ED INCL 1ST YR MNT;GEOCLUSTER FOR WIN ADV ED INCL 1ST YR MNT;GEOCLUSTER FOR WIN ADV ED INCL 1ST YR MNT;;;;70;;
1;3;2362;1;973,176;791,2;ADD YR MNT FOR GEOCLUSTER WIN ADV ED;C4AS-PRE-M;;ADD YR MNT FOR GEOCLUSTER WIN ADV ED;ADD YR MNT FOR GEOCLUSTER WIN ADV ED;ADD YR MNT FOR GEOCLUSTER WIN ADV ED;ADD YR MNT FOR GEOCLUSTER WIN ADV ED;;;;70;;
1;3;2362;1;973,176;791,2;MNT RNWL FOR GEOCLUSTER WIN ADV ED;C4AS-PRE-R;;MNT RNWL FOR GEOCLUSTER WIN ADV ED;MNT RNWL FOR GEOCLUSTER WIN ADV ED;MNT RNWL FOR GEOCLUSTER WIN ADV ED;MNT RNWL FOR GEOCLUSTER WIN ADV ED;;;;70;;
1;3;2362;1;1951,2474;1586,38;REACTIVATE MNT FOR GEO CLUSTER WIN ADV ED;C4AS-PRE-U;;REACTIVATE MNT FOR GEO CLUSTER WIN ADV ED;REACTIVATE MNT FOR GEO CLUSTER WIN ADV ED;REACTIVATE MNT FOR GEO CLUSTER WIN ADV ED;REACTIVATE MNT FOR GEO CLUSTER WIN ADV ED;;;;70;;
1;3;2362;1;8924,8431;7255,97;GEOCLUSTER FOR WIN DATA CENTER ED INCL 1ST YR MNT;C4DC-PRE-B;;GEOCLUSTER FOR WIN DATA CENTER ED INCL 1ST YR MNT;GEOCLUSTER FOR WIN DATA CENTER ED INCL 1ST YR MNT;GEOCLUSTER FOR WIN DATA CENTER ED INCL 1ST YR MNT;GEOCLUSTER FOR WIN DATA CENTER ED INCL 1ST YR MNT;;;;70;;
1;3;2362;1;1784,9637;1451,19;ADD YR MNT FOR GEOCLUSTER WIN DATACENTER ED;C4DC-PRE-M;;ADD YR MNT FOR GEOCLUSTER WIN DATACENTER ED;ADD YR MNT FOR GEOCLUSTER WIN DATACENTER ED;ADD YR MNT FOR GEOCLUSTER WIN DATACENTER ED;ADD YR MNT FOR GEOCLUSTER WIN DATACENTER ED;;;;70;;
1;3;2362;1;1784,9637;1451,19;MNT RNWL FOR GEOCLUSTER WIN DATACENTER ED;C4DC-PRE-R;;MNT RNWL FOR GEOCLUSTER WIN DATACENTER ED;MNT RNWL FOR GEOCLUSTER WIN DATACENTER ED;MNT RNWL FOR GEOCLUSTER WIN DATACENTER ED;MNT RNWL FOR GEOCLUSTER WIN DATACENTER ED;;;;70;;
1;3;2362;1;3569,9397;2902,39;REACTIVATE MNT FOR GEO CLUSTER WIN DATACTR ED;C4DC-PRE-U;;REACTIVATE MNT FOR GEO CLUSTER WIN DATACTR ED;REACTIVATE MNT FOR GEO CLUSTER WIN DATACTR ED;REACTIVATE MNT FOR GEO CLUSTER WIN DATACTR ED;REACTIVATE MNT FOR GEO CLUSTER WIN DATACTR ED;;;;70;;
1;3;2362;1;8430,9243;6854,41;GEOCLUSTER+ FOR WIN ADV ED INCL 1ST YR MNT;D4AS-PRE-B;;GEOCLUSTER+ FOR WIN ADV ED INCL 1ST YR MNT;GEOCLUSTER+ FOR WIN ADV ED INCL 1ST YR MNT;GEOCLUSTER+ FOR WIN ADV ED INCL 1ST YR MNT;GEOCLUSTER+ FOR WIN ADV ED INCL 1ST YR MNT;;;;70;;
1;3;2362;1;1951,2474;1586,38;ADD YR MNT FOR GEOCLUSTR+ ADV ED;D4AS-PRE-M;;ADD YR MNT FOR GEOCLUSTR+ ADV ED;ADD YR MNT FOR GEOCLUSTR+ ADV ED;ADD YR MNT FOR GEOCLUSTR+ ADV ED;ADD YR MNT FOR GEOCLUSTR+ ADV ED;;;;70;;
1;3;2362;1;162,606;132,2;PRO RATED 1MO MNT RNWL GEOCLUSTER ADV SVR;D4AS-PRE-P;;PRO RATED 1MO MNT RNWL GEOCLUSTER ADV SVR;PRO RATED 1MO MNT RNWL GEOCLUSTER ADV SVR;PRO RATED 1MO MNT RNWL GEOCLUSTER ADV SVR;PRO RATED 1MO MNT RNWL GEOCLUSTER ADV SVR;;;;70;;
1;3;2362;1;1951,2474;1586,38;MNT RNWL FOR GEOCLUSTER+ DBLTK WIN ADV ED;D4AS-PRE-R;;MNT RNWL FOR GEOCLUSTER+ DBLTK WIN ADV ED;MNT RNWL FOR GEOCLUSTER+ DBLTK WIN ADV ED;MNT RNWL FOR GEOCLUSTER+ DBLTK WIN ADV ED;MNT RNWL FOR GEOCLUSTER+ DBLTK WIN ADV ED;;;;70;;
1;3;2362;1;3907,3656;3176,72;REACTIVATE MNT FOR GEO CLUSTR+ DBLTK WIN ADV ED;D4AS-PRE-U;;REACTIVATE MNT FOR GEO CLUSTR+ DBLTK WIN ADV ED;REACTIVATE MNT FOR GEO CLUSTR+ DBLTK WIN ADV ED;REACTIVATE MNT FOR GEO CLUSTR+ DBLTK WIN ADV ED;REACTIVATE MNT FOR GEO CLUSTR+ DBLTK WIN ADV ED;;;;70;;
1;3;2362;1;8924,8431;7255,97;GEOCLUSTER+ FOR WIN DATA CENTER ED INCL 1ST YR MNT;D4DC-PRE-B;;GEOCLUSTER+ FOR WIN DATA CENTER ED INCL 1ST YR MNT;GEOCLUSTER+ FOR WIN DATA CENTER ED INCL 1ST YR MNT;GEOCLUSTER+ FOR WIN DATA CENTER ED INCL 1ST YR MNT;GEOCLUSTER+ FOR WIN DATA CENTER ED INCL 1ST YR MNT;;;;70;;
1;3;2362;1;1784,9637;1451,19;ADD YR MNT FOR GEOCLUSTR+ DATACENTER ED;D4DC-PRE-M;;ADD YR MNT FOR GEOCLUSTR+ DATACENTER ED;ADD YR MNT FOR GEOCLUSTR+ DATACENTER ED;ADD YR MNT FOR GEOCLUSTR+ DATACENTER ED;ADD YR MNT FOR GEOCLUSTR+ DATACENTER ED;;;;70;;
1;3;2362;1;1784,9637;1451,19;MNT RNWL FOR GEOCLUSTER+ DBLTK WIN DATACTR ED SVR;D4DC-PRE-R;;MNT RNWL FOR GEOCLUSTER+ DBLTK WIN DATACTR ED SVR;MNT RNWL FOR GEOCLUSTER+ DBLTK WIN DATACTR ED SVR;MNT RNWL FOR GEOCLUSTER+ DBLTK WIN DATACTR ED SVR;MNT RNWL FOR GEOCLUSTER+ DBLTK WIN DATACTR ED SVR;;;;70;;
