Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;2262;1;12955,1103;10532,61;BUS CRITICAL SUP OPT ADD TECH CONTCT BCS CUST TEAM;BCS-SUP-ADD-C;;BUS CRITICAL SUP OPT ADD TECH CONTCT BCS CUST TEAM;BUS CRITICAL SUP OPT ADD TECH CONTCT BCS CUST TEAM;BUS CRITICAL SUP OPT ADD TECH CONTCT BCS CUST TEAM;BUS CRITICAL SUP OPT ADD TECH CONTCT BCS CUST TEAM;;;;76;;
1;3;2262;1;64775,5269;52663,03;BUS CRITICAL SUP OPT 1CUST DATA CENTER TEAM;BCS-SUP-C;;BUS CRITICAL SUP OPT 1CUST DATA CENTER TEAM;BUS CRITICAL SUP OPT 1CUST DATA CENTER TEAM;BUS CRITICAL SUP OPT 1CUST DATA CENTER TEAM;BUS CRITICAL SUP OPT 1CUST DATA CENTER TEAM;;;;76;;
1;3;2262;1;51820,4166;42130,42;BUS CRITICAL SUP OPT1CUST DATA CTR TEAM ACCOUNT TAM;BCS-SUP-WTAM-C;;BUS CRITICAL SUP OPT1CUST DATA CTR TEAM ACCOUNT TAM;BUS CRITICAL SUP OPT1CUST DATA CTR TEAM ACCOUNT TAM;BUS CRITICAL SUP OPT1CUST DATA CTR TEAM ACCOUNT TAM;BUS CRITICAL SUP OPT1CUST DATA CTR TEAM ACCOUNT TAM;;;;76;;
1;3;2262;1;499,3431;405,97;BASIC SUP SUB CISCO NEXUS 1000V VSPHERE 5 ENT + 3YR;CISCO-N1K-3G-SSS-C;;BASIC SUP SUB CISCO NEXUS 1000V VSPHERE 5 ENT + 3YR;BASIC SUP SUB CISCO NEXUS 1000V VSPHERE 5 ENT + 3YR;BASIC SUP SUB CISCO NEXUS 1000V VSPHERE 5 ENT + 3YR;BASIC SUP SUB CISCO NEXUS 1000V VSPHERE 5 ENT + 3YR;;;;76;;
1;3;2262;1;595,0986;483,82;PROD SUP SUB CISCO NEXUS 1000V VSPHERE 5 ENT + 3YR;CISCO-N1K-3P-SSS-C;;PROD SUP SUB CISCO NEXUS 1000V VSPHERE 5 ENT + 3YR;PROD SUP SUB CISCO NEXUS 1000V VSPHERE 5 ENT + 3YR;PROD SUP SUB CISCO NEXUS 1000V VSPHERE 5 ENT + 3YR;PROD SUP SUB CISCO NEXUS 1000V VSPHERE 5 ENT + 3YR;;;;76;;
1;3;2262;1;800,3364;650,68;CISCO NEXUS 1000V VS5 ENT PLUS 1PROC;CISCO-N1K-C;;CISCO NEXUS 1000V VS5 ENT PLUS 1PROC;CISCO NEXUS 1000V VS5 ENT PLUS 1PROC;CISCO NEXUS 1000V VS5 ENT PLUS 1PROC;CISCO NEXUS 1000V VS5 ENT PLUS 1PROC;;;;76;;
1;3;2262;1;768,3195;624,65;L1 CISCO NEXUS 1000V VS5 ENT + 1PROC;CISCO-N1K-C-L1;;L1 CISCO NEXUS 1000V VS5 ENT + 1PROC;L1 CISCO NEXUS 1000V VS5 ENT + 1PROC;L1 CISCO NEXUS 1000V VS5 ENT + 1PROC;L1 CISCO NEXUS 1000V VS5 ENT + 1PROC;;;;76;;
1;3;2262;1;752,3295;611,65;L2 CISCO NEXUS 1000V VS5 ENT + 1PROC;CISCO-N1K-C-L2;;L2 CISCO NEXUS 1000V VS5 ENT + 1PROC;L2 CISCO NEXUS 1000V VS5 ENT + 1PROC;L2 CISCO NEXUS 1000V VS5 ENT + 1PROC;L2 CISCO NEXUS 1000V VS5 ENT + 1PROC;;;;76;;
1;3;2262;1;728,3076;592,12;L3 CISCO NEXUS 1000V VS5 ENT + 1PROC;CISCO-N1K-C-L3;;L3 CISCO NEXUS 1000V VS5 ENT + 1PROC;L3 CISCO NEXUS 1000V VS5 ENT + 1PROC;L3 CISCO NEXUS 1000V VS5 ENT + 1PROC;L3 CISCO NEXUS 1000V VS5 ENT + 1PROC;;;;76;;
