Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;2286;1;5,5842;5;Hard Western Digital.Hard Drive 10 GB ATA-100 3.5" 7200 rpm Internal;7J313;;Hard Western Digital.Hard Drive 10 GB ATA-100 3.5" 7200 rpm Internal;Hard Western Digital.Hard Drive 10 GB ATA-100 3.5" 7200 rpm Internal;Hard Western Digital.Hard Drive 10 GB ATA-100 3.5" 7200 rpm Internal;Hard Western Digital.Hard Drive 10 GB ATA-100 3.5" 7200 rpm Internal;;;;85;;
1;3;2286;1;474,6324;386;ASUS SABERTOOTH X58/WD 1.5TB CAVIAR BLACK DRIVE BUNDLE;ASUSX58-WD1.5TB;;ASUS SABERTOOTH X58/WD 1.5TB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 1.5TB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 1.5TB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 1.5TB CAVIAR BLACK DRIVE BUNDLE;;;;85;;
1;3;2286;1;451,8405;367;ASUS SABERTOOTH X58/WD 1TB CAVIAR BLACK DRIVE BUNDLE;ASUSX58-WD1TB;;ASUS SABERTOOTH X58/WD 1TB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 1TB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 1TB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 1TB CAVIAR BLACK DRIVE BUNDLE;;;;85;;
1;3;2286;1;542,8605;441;ASUS SABERTOOTH X58/WD 2TB CAVIAR BLACK DRIVE BUNDLE;ASUSX58-WD2TB;;ASUS SABERTOOTH X58/WD 2TB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 2TB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 2TB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 2TB CAVIAR BLACK DRIVE BUNDLE;;;;85;;
1;3;2286;1;413,9196;337;ASUS SABERTOOTH X58/WD 750GB CAVIAR BLACK DRIVE BUNDLE;ASUSX58-WD750GB;;ASUS SABERTOOTH X58/WD 750GB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 750GB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 750GB CAVIAR BLACK DRIVE BUNDLE;ASUS SABERTOOTH X58/WD 750GB CAVIAR BLACK DRIVE BUNDLE;;;;85;;
1;3;2286;1;11,1807;9;Undetermined 40GB SATA drive ,7200rpm, ATA-150;MD00400-BJDW;;Undetermined 40GB SATA drive ,7200rpm, ATA-150;Undetermined 40GB SATA drive ,7200rpm, ATA-150;Undetermined 40GB SATA drive ,7200rpm, ATA-150;Undetermined 40GB SATA drive ,7200rpm, ATA-150;;;;85;;
1;3;2286;1;402,6405;327;1TB 10000RPM 64MB SATA 6 GB/S - 2.5 VELOCIRAPTOR SATA HARD DRIVE;WD1000CHTZ;;1TB 10000RPM 64MB SATA 6 GB/S - 2.5 VELOCIRAPTOR SATA HARD DRIVE;1TB 10000RPM 64MB SATA 6 GB/S - 2.5 VELOCIRAPTOR SATA HARD DRIVE;1TB 10000RPM 64MB SATA 6 GB/S - 2.5 VELOCIRAPTOR SATA HARD DRIVE;1TB 10000RPM 64MB SATA 6 GB/S - 2.5 VELOCIRAPTOR SATA HARD DRIVE;;;;85;;
1;3;2286;1;372,5178;303;1TB 10000RPM 64MB SATA 6 GB/S - 3.5 VELOCIRAPTOR SATA HARD DRIVE;WD1000DHTZ;;1TB 10000RPM 64MB SATA 6 GB/S - 3.5 VELOCIRAPTOR SATA HARD DRIVE;1TB 10000RPM 64MB SATA 6 GB/S - 3.5 VELOCIRAPTOR SATA HARD DRIVE;1TB 10000RPM 64MB SATA 6 GB/S - 3.5 VELOCIRAPTOR SATA HARD DRIVE;1TB 10000RPM 64MB SATA 6 GB/S - 3.5 VELOCIRAPTOR SATA HARD DRIVE;;;;85;;
1;3;2286;1;182,901;149;1.0TB SAS 6Gb/s 7200RPM 32MB;WD1000FYYG;;1.0TB SAS 6Gb/s 7200RPM 32MB;1.0TB SAS 6Gb/s 7200RPM 32MB;1.0TB SAS 6Gb/s 7200RPM 32MB;1.0TB SAS 6Gb/s 7200RPM 32MB;;;;85;;
