Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;2312;1;197,8824;160,88;IBT BELT CLEANER;001R00593;;IBT BELT CLEANER;IBT BELT CLEANER;IBT BELT CLEANER;IBT BELT CLEANER;;;;27;;
1;3;2312;1;61,1925;49,75;TRANSFER BELT CLEANER;001R00600;;TRANSFER BELT CLEANER;TRANSFER BELT CLEANER;TRANSFER BELT CLEANER;TRANSFER BELT CLEANER;;;;27;;
1;3;2312;1;268,6074;218,38;TRANSFER BELT;001R00610;;TRANSFER BELT;TRANSFER BELT;TRANSFER BELT;TRANSFER BELT;;;;27;;
1;3;2312;1;76,1124;61,88;TRANSFER BELT CLEANER;001R00613;;TRANSFER BELT CLEANER;TRANSFER BELT CLEANER;TRANSFER BELT CLEANER;TRANSFER BELT CLEANER;;;;27;;
1;3;2312;1;64,9071;52,77;XEROX PRINTER SHIP KIT-EMPTY BOX FOR PHASER 6200 (W/ PACKAGING);004-5258-00;;XEROX PRINTER SHIP KIT-EMPTY BOX FOR PHASER 6200 (W/ PACKAGING);XEROX PRINTER SHIP KIT-EMPTY BOX FOR PHASER 6200 (W/ PACKAGING);XEROX PRINTER SHIP KIT-EMPTY BOX FOR PHASER 6200 (W/ PACKAGING);XEROX PRINTER SHIP KIT-EMPTY BOX FOR PHASER 6200 (W/ PACKAGING);;;;27;;
1;3;2312;1;302,7768;246,16;TONER CARTRIDGE - YELLOW - UP TO 4000 PAGES;006R00746;;TONER CARTRIDGE - YELLOW - UP TO 4000 PAGES;TONER CARTRIDGE - YELLOW - UP TO 4000 PAGES;TONER CARTRIDGE - YELLOW - UP TO 4000 PAGES;TONER CARTRIDGE - YELLOW - UP TO 4000 PAGES;;;;27;;
1;3;2312;1;237,0948;192,76;MAGENTA TONER CARTRIDGE, DOCUCOLOR 4LP, 006R00970;006R00970;;MAGENTA TONER CARTRIDGE, DOCUCOLOR 4LP, 006R00970;MAGENTA TONER CARTRIDGE, DOCUCOLOR 4LP, 006R00970;MAGENTA TONER CARTRIDGE, DOCUCOLOR 4LP, 006R00970;MAGENTA TONER CARTRIDGE, DOCUCOLOR 4LP, 006R00970;;;;27;;
1;3;2312;1;154,1928;125,36;BLK TONER CART PHASER 790;006R01009;;BLK TONER CART PHASER 790;BLK TONER CART PHASER 790;BLK TONER CART PHASER 790;BLK TONER CART PHASER 790;;;;27;;
1;3;2312;1;270,0711;219,57;CYAN TONER CART PHASER 790;006R01010;;CYAN TONER CART PHASER 790;CYAN TONER CART PHASER 790;CYAN TONER CART PHASER 790;CYAN TONER CART PHASER 790;;;;27;;
1;3;2312;1;270,0711;219,57;MAGN TONER CART PHASER 790;006R01011;;MAGN TONER CART PHASER 790;MAGN TONER CART PHASER 790;MAGN TONER CART PHASER 790;MAGN TONER CART PHASER 790;;;;27;;
1;3;2312;1;270,0711;219,57;YLW TONER CART PHASER 790;006R01012;;YLW TONER CART PHASER 790;YLW TONER CART PHASER 790;YLW TONER CART PHASER 790;YLW TONER CART PHASER 790;;;;27;;
1;3;2312;1;258,5706;210,22;TONER CARTRIDGE (QTY 2);006R01046;;TONER CARTRIDGE (QTY 2);TONER CARTRIDGE (QTY 2);TONER CARTRIDGE (QTY 2);TONER CARTRIDGE (QTY 2);;;;27;;
