Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;3;2338;1;329,9967;268,29;1000-HP Plus 80 Plus Silver;1000-HP Plus;;1000-HP Plus 80 Plus Silver;1000-HP Plus 80 Plus Silver;1000-HP Plus 80 Plus Silver;1000-HP Plus 80 Plus Silver;;;;12;;
1;3;2338;1;253,257;205,9;850-HP Plus 80 Plus Silver;850-HP PLUS;;850-HP Plus 80 Plus Silver;850-HP Plus 80 Plus Silver;850-HP Plus 80 Plus Silver;850-HP Plus 80 Plus Silver;;;;12;;
1;3;2338;1;91,5612;74,44;Copper/Aluminum CPU Cooler;CNPS10XEXTREME;;Copper/Aluminum CPU Cooler;Copper/Aluminum CPU Cooler;Copper/Aluminum CPU Cooler;Copper/Aluminum CPU Cooler;;;;12;;
1;3;2338;1;50,6268;41,16;Zalman Performa CPU Cooler;CNPS10XPERFORMA;;Zalman Performa CPU Cooler;Zalman Performa CPU Cooler;Zalman Performa CPU Cooler;Zalman Performa CPU Cooler;;;;12;;
1;3;2338;1;66,0264;53,68;Copper/Aluminum CPU Cooler;CNPS10XQUIET;;Copper/Aluminum CPU Cooler;Copper/Aluminum CPU Cooler;Copper/Aluminum CPU Cooler;Copper/Aluminum CPU Cooler;;;;12;;
1;3;2338;1;18,7575;15,25;SZ CPU Cooler;CNPS5X SZ;;SZ CPU Cooler;SZ CPU Cooler;SZ CPU Cooler;SZ CPU Cooler;;;;12;;
1;3;2338;1;45,9897;37,39;P4, SktA, 754,939,940 blueLED;CNPS7000B-CuLED;;P4, SktA, 754,939,940 blueLED;P4, SktA, 754,939,940 blueLED;P4, SktA, 754,939,940 blueLED;P4, SktA, 754,939,940 blueLED;;;;12;;
1;3;2338;1;25,953;21,1;Skt 775, AM2, 754, 939&940 Fan;CNPS7000C-ALCU;;Skt 775, AM2, 754, 939&940 Fan;Skt 775, AM2, 754, 939&940 Fan;Skt 775, AM2, 754, 939&940 Fan;Skt 775, AM2, 754, 939&940 Fan;;;;12;;
1;3;2338;1;23,1855;18,85;478,SktA,754,939,940, 775 Fan;CNPS7700ALCULED;;478,SktA,754,939,940, 775 Fan;478,SktA,754,939,940, 775 Fan;478,SktA,754,939,940, 775 Fan;478,SktA,754,939,940, 775 Fan;;;;12;;
1;3;2338;1;25,2765;20,55;478,SktA,754,939,940, 775 Fan;CNPS7700CULED;;478,SktA,754,939,940, 775 Fan;478,SktA,754,939,940, 775 Fan;478,SktA,754,939,940, 775 Fan;478,SktA,754,939,940, 775 Fan;;;;12;;
1;3;2338;1;43,8741;35,67;CPU Cooler;CNPS8000A;;CPU Cooler;CPU Cooler;CPU Cooler;CPU Cooler;;;;12;;
1;3;2338;1;36,0636;29,32;CPU Cooler Ultra Quiet;CNPS9300AT;;CPU Cooler Ultra Quiet;CPU Cooler Ultra Quiet;CPU Cooler Ultra Quiet;CPU Cooler Ultra Quiet;;;;12;;
1;3;2338;1;52,7301;42,87;copper heatpipe CPU cooling;CNPS9500A-LED;;copper heatpipe CPU cooling;copper heatpipe CPU cooling;copper heatpipe CPU cooling;copper heatpipe CPU cooling;;;;12;;
1;3;2338;1;51,0573;41,51;Ultra Quiet CPU Cooler AM2;CNPS9500AM2;;Ultra Quiet CPU Cooler AM2;Ultra Quiet CPU Cooler AM2;Ultra Quiet CPU Cooler AM2;Ultra Quiet CPU Cooler AM2;;;;12;;
1;3;2338;1;47,6625;38,75;Ultra Quiet CPU Cooler Intel;CNPS9500AT;;Ultra Quiet CPU Cooler Intel;Ultra Quiet CPU Cooler Intel;Ultra Quiet CPU Cooler Intel;Ultra Quiet CPU Cooler Intel;;;;12;;
1;3;2338;1;46,8753;38,11;Ultra Quiet CPU Cooler;CNPS9500LED;;Ultra Quiet CPU Cooler;Ultra Quiet CPU Cooler;Ultra Quiet CPU Cooler;Ultra Quiet CPU Cooler;;;;12;;
1;3;2338;1;60,9834;49,58;Ultra Quiet CPU Cooler;CNPS9700LED;;Ultra Quiet CPU Cooler;Ultra Quiet CPU Cooler;Ultra Quiet CPU Cooler;Ultra Quiet CPU Cooler;;;;12;;
1;3;2338;1;68,142;55,4;Copper Heat Pipe CPU Cooler;CNPS9700NT;;Copper Heat Pipe CPU Cooler;Copper Heat Pipe CPU Cooler;Copper Heat Pipe CPU Cooler;Copper Heat Pipe CPU Cooler;;;;12;;
1;3;2338;1;73,1358;59,46;Ultra Quiet CPU Cooler;CNPS9900ALED;;Ultra Quiet CPU Cooler;Ultra Quiet CPU Cooler;Ultra Quiet CPU Cooler;Ultra Quiet CPU Cooler;;;;12;;
1;3;2338;1;86,3829;70,23;Blue CPU Cooler;CNPS9900MAX-B;;Blue CPU Cooler;Blue CPU Cooler;Blue CPU Cooler;Blue CPU Cooler;;;;12;;
1;3;2338;1;86,3829;70,23;Red CPU Cooler;CNPS9900MAX-R;;Red CPU Cooler;Red CPU Cooler;Red CPU Cooler;Red CPU Cooler;;;;12;;
1;3;2338;1;65,5467;53,29;120mm CPU Cooler;CNPS9900NT;;120mm CPU Cooler;120mm CPU Cooler;120mm CPU Cooler;120mm CPU Cooler;;;;12;;
1;3;2338;1;13,1364;10,68;120mm Case Fan w/FDB;F3FDB;;120mm Case Fan w/FDB;120mm Case Fan w/FDB;120mm Case Fan w/FDB;120mm Case Fan w/FDB;;;;12;;
1;3;2338;1;37,9332;30,84;Gaming First person Shooter;FG1000;;Gaming First person Shooter;Gaming First person Shooter;Gaming First person Shooter;Gaming First person Shooter;;;;12;;
1;3;2338;1;235,9878;191,86;GS1000 Gaming Case Black;GS1000+B;;GS1000 Gaming Case Black;GS1000 Gaming Case Black;GS1000 Gaming Case Black;GS1000 Gaming Case Black;;;;12;;
1;3;2338;1;211,0557;171,59;Full Tower Case Cover Black;GS1000-B;;Full Tower Case Cover Black;Full Tower Case Cover Black;Full Tower Case Cover Black;Full Tower Case Cover Black;;;;12;;
1;3;2338;1;161,1669;131,03;Full Tower Enclosure;GS1000SE;;Full Tower Enclosure;Full Tower Enclosure;Full Tower Enclosure;Full Tower Enclosure;;;;12;;
