Product;;;;;;;;;ProductTranslation;;;;;ProductParameter;;ProductCategory;;ProductAccessory
CompanyId;CurrencyId;ManufacturerId;UserId;ListPriceGross;ListPriceNet;Name;PartNumber;;DescriptionEN;DescriptionPL;TnameEN;TnamePL;;ProductParameter;;ProductCategory;;ProductAccessory
1;9;11;1;81,1062;65,94;Zebra etykiety 050.80 x 031.75;76013;;Zebra etykiety 050.80 x 031.75;Zebra etykiety 050.80 x 031.75;Zebra etykiety 050.80 x 031.75;Zebra etykiety 050.80 x 031.75;;;;36;;
1;9;11;1;12298,77;9999;Zebra zestaw TLP2844 +etykieta TT 102x76+tasma wosk 110mm;2844RRCKIT102x76;;Zebra zestaw TLP2844 +etykieta TT 102x76+tasma wosk 110mm;Zebra zestaw TLP2844 +etykieta TT 102x76+tasma wosk 110mm;Zebra zestaw TLP2844 +etykieta TT 102x76+tasma wosk 110mm;Zebra zestaw TLP2844 +etykieta TT 102x76+tasma wosk 110mm;;;;36;;
1;9;11;1;12298,77;9999;Zebra zestaw TLP2844+etykieta TT 57x32+tasma wosk 64mm;2844RRCKIT57x32;;Zebra zestaw TLP2844+etykieta TT 57x32+tasma wosk 64mm;Zebra zestaw TLP2844+etykieta TT 57x32+tasma wosk 64mm;Zebra zestaw TLP2844+etykieta TT 57x32+tasma wosk 64mm;Zebra zestaw TLP2844+etykieta TT 57x32+tasma wosk 64mm;;;;36;;
1;9;11;1;455,1;370;Drukarka termiczna Zebra LP2824, USB+RS232;2824-21120-0001;;Drukarka termiczna Zebra LP2824, USB+RS232;Drukarka termiczna Zebra LP2824, USB+RS232;Drukarka termiczna Zebra LP2824, USB+RS232;Drukarka termiczna Zebra LP2824, USB+RS232;;28 = RS-232C, 28 = USB;;36;;
1;9;11;1;455,1;370;Drukarka termiczna Zebra LP2824, port rownolegly - centronix;2824-21220-0001;;Drukarka termiczna Zebra LP2824, port rownolegly - centronix;Drukarka termiczna Zebra LP2824, port rownolegly - centronix;Drukarka termiczna Zebra LP2824, port rownolegly - centronix;Drukarka termiczna Zebra LP2824, port rownolegly - centronix;;28 = Port równoleg³y LPT (IEEE 1284);;36;;
1;9;11;1;496,92;404;Zebra drukarka biurkowa LP2824 port szeregowy z dispenserem;2824-21121-0001;;Zebra drukarka biurkowa LP2824 port szeregowy z dispenserem;Zebra drukarka biurkowa LP2824 port szeregowy z dispenserem;Zebra drukarka biurkowa LP2824 port szeregowy z dispenserem;Zebra drukarka biurkowa LP2824 port szeregowy z dispenserem;;28 = RS-232C;;36;;
1;9;11;1;496,92;404;Zebra drukarka LP2824 P z dispenserem;2824-21221-0001;;Zebra drukarka LP2824 P z dispenserem;Zebra drukarka LP2824 P z dispenserem;Zebra drukarka LP2824 P z dispenserem;Zebra drukarka LP2824 P z dispenserem;;;;36;;
1;9;11;1;522,75;425;Drukarka termiczna Zebra LP2844, 203dpi,RS232,USB,parallel;2844-20320-0001;;Drukarka termiczna Zebra LP2844, 203dpi,RS232,USB,parallel;Drukarka termiczna Zebra LP2844, 203dpi,RS232,USB,parallel;Drukarka termiczna Zebra LP2844, 203dpi,RS232,USB,parallel;Drukarka termiczna Zebra LP2844, 203dpi,RS232,USB,parallel;;28 = Port równoleg³y LPT (IEEE 1284), 28 = RS-232C, 28 = USB, 18 = 203;;36;;
1;9;11;1;553,5;450;Drukarka termo-transferowa Zebra TLP2824, RS232+USB,standard;2824-11120-0001;;Drukarka termo-transferowa Zebra TLP2824, RS232+USB,standard;Drukarka termo-transferowa Zebra TLP2824, RS232+USB,standard;Drukarka termo-transferowa Zebra TLP2824, RS232+USB,standard;Drukarka termo-transferowa Zebra TLP2824, RS232+USB,standard;;28 = RS-232C, 28 = USB;;36;;
1;9;11;1;553,5;450;Drukarka termo-transferowa Zebra TLP2824, parallel, 203dpi;2824-11220-0001;;Drukarka termo-transferowa Zebra TLP2824, parallel, 203dpi;Drukarka termo-transferowa Zebra TLP2824, parallel, 203dpi;Drukarka termo-transferowa Zebra TLP2824, parallel, 203dpi;Drukarka termo-transferowa Zebra TLP2824, parallel, 203dpi;;28 = Port równoleg³y LPT (IEEE 1284), 18 = 203;;36;;
1;9;11;1;564,57;459;Zebra drukarka LP2844 termiczna z dispenserem 200dpi;2844-20321-0001;;Zebra drukarka LP2844 termiczna z dispenserem 200dpi;Zebra drukarka LP2844 termiczna z dispenserem 200dpi;Zebra drukarka LP2844 termiczna z dispenserem 200dpi;Zebra drukarka LP2844 termiczna z dispenserem 200dpi;;18 = 200;;36;;
1;9;11;1;595,32;484;Zebra drukarka TLP2824 S z dispenserem;2824-11121-0001;;Zebra drukarka TLP2824 S z dispenserem;Zebra drukarka TLP2824 S z dispenserem;Zebra drukarka TLP2824 S z dispenserem;Zebra drukarka TLP2824 S z dispenserem;;;;36;;
1;9;11;1;627,3;510;Drukarka termo-transferowa TLP2844, 203dpi, EPL, standard;2844-10320-0001;;Drukarka termo-transferowa TLP2844, 203dpi, EPL, standard;Drukarka termo-transferowa TLP2844, 203dpi, EPL, standard;Drukarka termo-transferowa TLP2844, 203dpi, EPL, standard;Drukarka termo-transferowa TLP2844, 203dpi, EPL, standard;;18 = 203;;36;;
1;9;11;1;633,45;515;Zebra drukarka TLP 2824 S ZPL;282Z-11120-0001;;Zebra drukarka TLP 2824 S ZPL;Zebra drukarka TLP 2824 S ZPL;Zebra drukarka TLP 2824 S ZPL;Zebra drukarka TLP 2824 S ZPL;;;;36;;
1;9;11;1;645,75;525;Zebra drukarka LP2844 EPL z zegarem;2844-20320-0031;;Zebra drukarka LP2844 EPL z zegarem;Zebra drukarka LP2844 EPL z zegarem;Zebra drukarka LP2844 EPL z zegarem;Zebra drukarka LP2844 EPL z zegarem;;;;36;;
1;9;11;1;669,12;544;Zebra drukarka TLP 2844 z dispenserem;2844-10321-0001;;Zebra drukarka TLP 2844 z dispenserem;Zebra drukarka TLP 2844 z dispenserem;Zebra drukarka TLP 2844 z dispenserem;Zebra drukarka TLP 2844 z dispenserem;;;;36;;
1;9;11;1;707,25;575;Zebra drukarka LP2844 ZPL standard;284Z-20320-0001;;Zebra drukarka LP2844 ZPL standard;Zebra drukarka LP2844 ZPL standard;Zebra drukarka LP2844 ZPL standard;Zebra drukarka LP2844 ZPL standard;;;;36;;
